# Disease orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_symbol	H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
ENSG00000270008	ENSG00000270008.1	lncRNA	ENSMUSG00000106980.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG17	ENSG00000196756.11	lncRNA	ENSMUSG00000100992.1	lncRNA	many-to-many	GENCODE.v27vsM16
SATB1-AS1	ENSG00000228956.8	lncRNA	ENSMUSG00000103378.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01989	ENSG00000261156.6	lncRNA	ENSMUSG00000109297.1	lncRNA	one-to-one	GENCODE.v27vsM16
C6orf47-AS1	ENSG00000227198.1	lncRNA	ENSMUSG00000092241.1	lncRNA	one-to-one	GENCODE.v27vsM16
EVX1-AS	ENSG00000253405.1	lncRNA	ENSMUSG00000086126.1	lncRNA	one-to-many	GENCODE.v27vsM16
TMEM51-AS1	ENSG00000175147.11	lncRNA	ENSMUSG00000073728.10	lncRNA	one-to-one	GENCODE.v27vsM16
CRNDE	ENSG00000245694.9	lncRNA	ENSMUSG00000031736.11	lncRNA	one-to-many	GENCODE.v27vsM16
GPR158-AS1	ENSG00000233642.1	lncRNA	ENSMUSG00000085680.1	lncRNA	one-to-one	GENCODE.v27vsM16
ZNF503-AS2	ENSG00000237149.5	lncRNA	ENSMUSG00000103160.1	lncRNA	one-to-many	GENCODE.v27vsM16
HCG11	ENSG00000228223.3	lncRNA	ENSMUSG00000104222.1	lncRNA	many-to-many	GENCODE.v27vsM16
MIF-AS1	ENSG00000218537.1	lncRNA	ENSMUSG00000090023.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000274269	ENSG00000274269.1	lncRNA	ENSMUSG00000087035.1	lncRNA	one-to-many	GENCODE.v27vsM16
MIATNB	ENSG00000244625.5	lncRNA	ENSMUSG00000097767.8	lncRNA	many-to-many	GENCODE.v27vsM16
ANKRD62P1-PARP4P3	ENSG00000189295.13	lncRNA	ENSMUSG00000109113.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG6	ENSG00000245910.8	lncRNA	ENSMUSG00000098234.7	lncRNA	one-to-many	GENCODE.v27vsM16
LINC03093	ENSG00000254334.1	lncRNA	ENSMUSG00000104288.1	lncRNA	one-to-one	GENCODE.v27vsM16
HOXA-AS2	ENSG00000253552.7	lncRNA	ENSMUSG00000101451.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000279086	ENSG00000279086.1	lncRNA	ENSMUSG00000084772.1	lncRNA	one-to-many	GENCODE.v27vsM16
FTX	ENSG00000230590.9	lncRNA	ENSMUSG00000086370.8	lncRNA	one-to-many	GENCODE.v27vsM16
KCNQ1OT1	ENSG00000269821.1	lncRNA	ENSMUSG00000101609.1	lncRNA	one-to-one	GENCODE.v27vsM16
INTS6-AS1	ENSG00000236778.7	lncRNA	ENSMUSG00000097775.1	lncRNA	many-to-many	GENCODE.v27vsM16
CXXC5-AS1	ENSG00000250635.1	lncRNA	ENSMUSG00000100320.1	lncRNA	one-to-one	GENCODE.v27vsM16
CECR3	ENSG00000241832.1	lncRNA	ENSMUSG00000107580.1	lncRNA	one-to-one	GENCODE.v27vsM16
LOXL2-AS1	ENSG00000253837.1	lncRNA	ENSMUSG00000098975.7	lncRNA	one-to-many	GENCODE.v27vsM16
BACE1-AS	ENSG00000278768.1	lncRNA	ENSMUSG00000089810.1	lncRNA	one-to-many	GENCODE.v27vsM16
MIR325HG	ENSG00000280870.2	lncRNA	ENSMUSG00000087620.7	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000279181	ENSG00000279181.1	lncRNA	ENSMUSG00000051844.13	lncRNA	one-to-one	GENCODE.v27vsM16
SOX2-OT	ENSG00000242808.7	lncRNA	ENSMUSG00000104901.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000256654	ENSG00000256654.3	lncRNA	ENSMUSG00000110390.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00972	ENSG00000225128.1	lncRNA	ENSMUSG00000103740.1	lncRNA	one-to-one	GENCODE.v27vsM16
TGFB3-AS1	ENSG00000258876.1	lncRNA	ENSMUSG00000103301.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01685	ENSG00000238063.2	lncRNA	ENSMUSG00000103541.1	lncRNA	one-to-one	GENCODE.v27vsM16
PCOLCE-AS1	ENSG00000224729.5	lncRNA	ENSMUSG00000106617.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000151303	ENSG00000151303.11	lncRNA	ENSMUSG00000101356.1	lncRNA	many-to-many	GENCODE.v27vsM16
TGFB2-AS1	ENSG00000232480.1	lncRNA	ENSMUSG00000100393.1	lncRNA	one-to-one	GENCODE.v27vsM16
NKX2-1-AS1	ENSG00000253563.2	lncRNA	ENSMUSG00000098172.7	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000256654	ENSG00000256654.3	lncRNA	ENSMUSG00000110390.1	lncRNA	one-to-many	GENCODE.v27vsM16
SGMS1-AS1	ENSG00000226200.6	lncRNA	ENSMUSG00000097787.1	lncRNA	one-to-one	GENCODE.v27vsM16
C9orf163	ENSG00000196366.3	lncRNA	ENSMUSG00000086714.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02105	ENSG00000250447.5	lncRNA	ENSMUSG00000104314.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000275210	ENSG00000275210.1	lncRNA	ENSMUSG00000067951.4	lncRNA	many-to-many	GENCODE.v27vsM16
LINC02209	ENSG00000253279.5	lncRNA	ENSMUSG00000085292.1	lncRNA	many-to-many	GENCODE.v27vsM16
BAIAP2-DT	ENSG00000226137.5	lncRNA	ENSMUSG00000085207.1	lncRNA	one-to-many	GENCODE.v27vsM16
NR2F1-AS1	ENSG00000237187.8	lncRNA	ENSMUSG00000087143.9	lncRNA	one-to-many	GENCODE.v27vsM16
SNHG29	ENSG00000175061.17	lncRNA	ENSMUSG00000086841.1	lncRNA	many-to-many	GENCODE.v27vsM16
HAND2-AS1	ENSG00000237125.8	lncRNA	ENSMUSG00000100510.7	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01593	ENSG00000231221.1	lncRNA	ENSMUSG00000102572.1	lncRNA	one-to-one	GENCODE.v27vsM16
OGFRP1	ENSG00000182057.4	lncRNA	ENSMUSG00000100199.1	lncRNA	one-to-many	GENCODE.v27vsM16
NMBR-AS1	ENSG00000236822.1	lncRNA	ENSMUSG00000096963.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02502	ENSG00000250392.2	lncRNA	ENSMUSG00000102679.1	lncRNA	many-to-many	GENCODE.v27vsM16
LETR1	ENSG00000248441.6	lncRNA	ENSMUSG00000099558.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00588	ENSG00000215117.5	lncRNA	ENSMUSG00000109113.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00588	ENSG00000215117.5	lncRNA	ENSMUSG00000110554.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG14	ENSG00000224078.13	lncRNA	ENSMUSG00000109536.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG26	ENSG00000228649.8	lncRNA	ENSMUSG00000105987.4	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000260160	ENSG00000260160.1	lncRNA	ENSMUSG00000115801.1	lncRNA	many-to-many	GENCODE.v27vsM16
LUCAT1	ENSG00000248323.5	lncRNA	ENSMUSG00000114554.1	lncRNA	one-to-one	GENCODE.v27vsM16
MID1IP1-AS1	ENSG00000238123.1	lncRNA	ENSMUSG00000097444.1	lncRNA	one-to-one	GENCODE.v27vsM16
NPHP3-AS1	ENSG00000248724.6	lncRNA	ENSMUSG00000099722.3	lncRNA	one-to-one	GENCODE.v27vsM16
NKILA	ENSG00000278709.1	lncRNA	ENSMUSG00000087600.1	lncRNA	one-to-one	GENCODE.v27vsM16
CHASERR	ENSG00000272888.5	lncRNA	ENSMUSG00000101970.6	lncRNA	many-to-many	GENCODE.v27vsM16
PVT1	ENSG00000249859.9	lncRNA	ENSMUSG00000097039.8	lncRNA	one-to-many	GENCODE.v27vsM16
ZFAS1	ENSG00000177410.12	lncRNA	ENSMUSG00000074578.13	lncRNA	one-to-many	GENCODE.v27vsM16
FRG1-DT	ENSG00000245685.6	lncRNA	ENSMUSG00000101356.1	lncRNA	many-to-many	GENCODE.v27vsM16
MEG8	ENSG00000225746.9	lncRNA	ENSMUSG00000102657.1	lncRNA	many-to-many	GENCODE.v27vsM16
HOXB-AS1	ENSG00000230148.8	lncRNA	ENSMUSG00000084844.3	lncRNA	one-to-many	GENCODE.v27vsM16
ITGA9-AS1	ENSG00000235257.8	lncRNA	ENSMUSG00000086119.2	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01606	ENSG00000253301.5	lncRNA	ENSMUSG00000074404.6	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00511	ENSG00000227036.6	lncRNA	ENSMUSG00000085421.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01551	ENSG00000186960.10	lncRNA	ENSMUSG00000104861.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG19	ENSG00000260260.1	lncRNA	ENSMUSG00000093565.1	lncRNA	many-to-many	GENCODE.v27vsM16
SCAMP1-AS1	ENSG00000245556.2	lncRNA	ENSMUSG00000113494.1	lncRNA	one-to-one	GENCODE.v27vsM16
THUMPD3-AS1	ENSG00000206573.8	lncRNA	ENSMUSG00000086429.9	lncRNA	one-to-one	GENCODE.v27vsM16
PITX1-AS1	ENSG00000224186.8	lncRNA	ENSMUSG00000114493.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC02381	ENSG00000250742.2	lncRNA	ENSMUSG00000099758.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00511	ENSG00000227036.6	lncRNA	ENSMUSG00000087259.7	lncRNA	one-to-many	GENCODE.v27vsM16
LNC-LBCS	ENSG00000228412.7	lncRNA	ENSMUSG00000114860.1	lncRNA	one-to-many	GENCODE.v27vsM16
CDK6-AS1	ENSG00000237819.5	lncRNA	ENSMUSG00000097118.1	lncRNA	many-to-many	GENCODE.v27vsM16
CEBPA-DT	ENSG00000267296.2	lncRNA	ENSMUSG00000108624.1	lncRNA	one-to-one	GENCODE.v27vsM16
MEG3	ENSG00000214548.14	lncRNA	ENSMUSG00000097961.1	lncRNA	one-to-many	GENCODE.v27vsM16
EPB41L4A-AS1	ENSG00000224032.6	lncRNA	ENSMUSG00000087590.2	lncRNA	one-to-one	GENCODE.v27vsM16
MEG8	ENSG00000225746.9	lncRNA	ENSMUSG00000021268.17	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00840	ENSG00000226808.1	lncRNA	ENSMUSG00000107785.1	lncRNA	one-to-one	GENCODE.v27vsM16
TMC3-AS1	ENSG00000259343.6	lncRNA	ENSMUSG00000094841.2	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01460	ENSG00000205334.2	lncRNA	ENSMUSG00000107355.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000260464	ENSG00000260464.1	lncRNA	ENSMUSG00000057359.7	lncRNA	many-to-many	GENCODE.v27vsM16
RMST	ENSG00000255794.7	lncRNA	ENSMUSG00000112117.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01896	ENSG00000263146.2	lncRNA	ENSMUSG00000098720.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000283341	ENSG00000283341.1	lncRNA	ENSMUSG00000075020.6	lncRNA	one-to-many	GENCODE.v27vsM16
HOTAIR	ENSG00000228630.5	lncRNA	ENSMUSG00000086903.4	lncRNA	one-to-one	GENCODE.v27vsM16
ZFHX2-AS1	ENSG00000157306.14	lncRNA	ENSMUSG00000093452.4	lncRNA	many-to-many	GENCODE.v27vsM16
MIR34AHG	ENSG00000228526.6	lncRNA	ENSMUSG00000086665.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00632	ENSG00000203930.10	lncRNA	ENSMUSG00000071753.11	lncRNA	one-to-one	GENCODE.v27vsM16
MAGI2-AS3	ENSG00000234456.7	lncRNA	ENSMUSG00000097626.5	lncRNA	one-to-one	GENCODE.v27vsM16
CASC2	ENSG00000177640.15	lncRNA	ENSMUSG00000091378.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000280211	ENSG00000280211.1	lncRNA	ENSMUSG00000099579.1	lncRNA	one-to-one	GENCODE.v27vsM16
LOXL2-AS1	ENSG00000253837.1	lncRNA	ENSMUSG00000098975.7	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000279086	ENSG00000279086.1	lncRNA	ENSMUSG00000054556.6	lncRNA	one-to-many	GENCODE.v27vsM16
FMR1-AS1	ENSG00000268066.5	lncRNA	ENSMUSG00000096946.1	lncRNA	one-to-many	GENCODE.v27vsM16
DSG2-AS1	ENSG00000264859.5	lncRNA	ENSMUSG00000085595.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000278959	ENSG00000278959.1	lncRNA	ENSMUSG00000107681.1	lncRNA	one-to-one	GENCODE.v27vsM16
HOTTIP	ENSG00000243766.7	lncRNA	ENSMUSG00000055408.7	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG17	ENSG00000196756.11	lncRNA	ENSMUSG00000085385.7	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00608	ENSG00000236445.4	lncRNA	ENSMUSG00000089964.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02541	ENSG00000230943.1	lncRNA	ENSMUSG00000097742.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01160	ENSG00000231346.5	lncRNA	ENSMUSG00000104835.4	lncRNA	one-to-one	GENCODE.v27vsM16
MIR137HG	ENSG00000225206.8	lncRNA	ENSMUSG00000097311.7	lncRNA	many-to-many	GENCODE.v27vsM16
LINC02198	ENSG00000249352.4	lncRNA	ENSMUSG00000104450.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02559	ENSG00000236464.1	lncRNA	ENSMUSG00000097962.7	lncRNA	one-to-one	GENCODE.v27vsM16
OVCH1-AS1	ENSG00000257599.2	lncRNA	ENSMUSG00000104222.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01087	ENSG00000224559.2	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many	GENCODE.v27vsM16
LINC02075	ENSG00000249497.1	lncRNA	ENSMUSG00000084856.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00459	ENSG00000229307.1	lncRNA	ENSMUSG00000102164.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02024	ENSG00000241213.1	lncRNA	ENSMUSG00000102417.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02315	ENSG00000251363.2	lncRNA	ENSMUSG00000102199.1	lncRNA	one-to-one	GENCODE.v27vsM16
DANCR	ENSG00000226950.6	lncRNA	ENSMUSG00000106943.1	lncRNA	many-to-many	GENCODE.v27vsM16
RAB11B-AS1	ENSG00000269386.5	lncRNA	ENSMUSG00000090952.2	lncRNA	one-to-one	GENCODE.v27vsM16
KCNMA1-AS2	ENSG00000225497.5	lncRNA	ENSMUSG00000100100.1	lncRNA	one-to-one	GENCODE.v27vsM16
MEG3	ENSG00000214548.14	lncRNA	ENSMUSG00000097961.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01923	ENSG00000236653.2	lncRNA	ENSMUSG00000102491.1	lncRNA	one-to-one	GENCODE.v27vsM16
CXXC4-AS1	ENSG00000245384.1	lncRNA	ENSMUSG00000097911.2	lncRNA	many-to-many	GENCODE.v27vsM16
MIR137HG	ENSG00000225206.8	lncRNA	ENSMUSG00000104178.1	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000079171.3	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000228021	ENSG00000228021.7	lncRNA	ENSMUSG00000109917.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01087	ENSG00000224559.2	lncRNA	ENSMUSG00000109113.1	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000273328	ENSG00000273328.5	lncRNA	ENSMUSG00000111079.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01505	ENSG00000234323.6	lncRNA	ENSMUSG00000086371.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000269082	ENSG00000269082.1	lncRNA	ENSMUSG00000085101.7	lncRNA	many-to-many	GENCODE.v27vsM16
ZEB2-AS1	ENSG00000238057.8	lncRNA	ENSMUSG00000052248.15	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01965	ENSG00000256637.6	lncRNA	ENSMUSG00000100832.1	lncRNA	one-to-one	GENCODE.v27vsM16
MEG3	ENSG00000214548.14	lncRNA	ENSMUSG00000097451.10	lncRNA	many-to-many	GENCODE.v27vsM16
HOXA11-AS	ENSG00000240990.9	lncRNA	ENSMUSG00000086427.8	lncRNA	many-to-many	GENCODE.v27vsM16
CASC15	ENSG00000272168.6	lncRNA	ENSMUSG00000085936.7	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01588	ENSG00000214900.9	lncRNA	ENSMUSG00000113035.1	lncRNA	one-to-many	GENCODE.v27vsM16
CCND2-AS1	ENSG00000255920.1	lncRNA	ENSMUSG00000097166.1	lncRNA	one-to-one	GENCODE.v27vsM16
MIR503HG	ENSG00000223749.9	lncRNA	ENSMUSG00000101603.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC02587	ENSG00000229108.1	lncRNA	ENSMUSG00000101067.1	lncRNA	one-to-one	GENCODE.v27vsM16
DDN-AS1	ENSG00000257913.2	lncRNA	ENSMUSG00000097414.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000109113.1	lncRNA	many-to-many	GENCODE.v27vsM16
HOXB-AS1	ENSG00000230148.8	lncRNA	ENSMUSG00000084844.3	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000279142	ENSG00000279142.1	lncRNA	ENSMUSG00000103830.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00640	ENSG00000258479.5	lncRNA	ENSMUSG00000113302.1	lncRNA	one-to-one	GENCODE.v27vsM16
NKX2-2-AS1	ENSG00000258197.1	lncRNA	ENSMUSG00000086509.2	lncRNA	many-to-many	GENCODE.v27vsM16
FEZF1-AS1	ENSG00000230316.6	lncRNA	ENSMUSG00000106775.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00930	ENSG00000258647.5	lncRNA	ENSMUSG00000108448.2	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00442	ENSG00000232685.4	lncRNA	ENSMUSG00000085292.1	lncRNA	one-to-many	GENCODE.v27vsM16
MEG8	ENSG00000225746.9	lncRNA	ENSMUSG00000098061.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00363	ENSG00000232849.1	lncRNA	ENSMUSG00000104296.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000259868	ENSG00000259868.2	lncRNA	ENSMUSG00000114989.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000278957	ENSG00000278957.1	lncRNA	ENSMUSG00000093460.9	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01089	ENSG00000212694.8	lncRNA	ENSMUSG00000090086.7	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01121	ENSG00000205054.6	lncRNA	ENSMUSG00000100345.1	lncRNA	one-to-one	GENCODE.v27vsM16
AGBL5-IT1	ENSG00000229122.1	lncRNA	ENSMUSG00000107201.1	lncRNA	one-to-one	GENCODE.v27vsM16
MEG9	ENSG00000223403.3	lncRNA	ENSMUSG00000097391.8	lncRNA	many-to-many	GENCODE.v27vsM16
DIO3OS	ENSG00000258498.8	lncRNA	ENSMUSG00000113581.1	lncRNA	many-to-many	GENCODE.v27vsM16
NRAV	ENSG00000248008.2	lncRNA	ENSMUSG00000086368.2	lncRNA	one-to-one	GENCODE.v27vsM16
MIR100HG	ENSG00000255248.7	lncRNA	ENSMUSG00000074415.12	lncRNA	many-to-many	GENCODE.v27vsM16
MIR670HG	ENSG00000235661.3	lncRNA	ENSMUSG00000075020.6	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000278893	ENSG00000278893.1	lncRNA	ENSMUSG00000110084.1	lncRNA	many-to-many	GENCODE.v27vsM16
MIR181A1HG	ENSG00000229989.3	lncRNA	ENSMUSG00000102142.1	lncRNA	one-to-many	GENCODE.v27vsM16
EPIST	ENSG00000249082.2	lncRNA	ENSMUSG00000100096.1	lncRNA	many-to-many	GENCODE.v27vsM16
ELDR	ENSG00000280890.1	lncRNA	ENSMUSG00000087060.7	lncRNA	one-to-many	GENCODE.v27vsM16
MIR200CHG	ENSG00000257084.1	lncRNA	ENSMUSG00000087327.1	lncRNA	many-to-many	GENCODE.v27vsM16
TRAM2-AS1	ENSG00000225791.6	lncRNA	ENSMUSG00000099971.1	lncRNA	one-to-one	GENCODE.v27vsM16
ZEB2-AS1	ENSG00000238057.8	lncRNA	ENSMUSG00000052248.15	lncRNA	many-to-many	GENCODE.v27vsM16
AFDN-DT	ENSG00000198221.8	lncRNA	ENSMUSG00000086465.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000274270	ENSG00000274270.1	lncRNA	ENSMUSG00000104187.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000267149	ENSG00000267149.2	lncRNA	ENSMUSG00000091177.2	lncRNA	many-to-many	GENCODE.v27vsM16
LINC02425	ENSG00000256259.1	lncRNA	ENSMUSG00000102382.1	lncRNA	one-to-one	GENCODE.v27vsM16
OIP5-AS1	ENSG00000247556.6	lncRNA	ENSMUSG00000085438.1	lncRNA	one-to-one	GENCODE.v27vsM16
HMGN3-AS1	ENSG00000270362.1	lncRNA	ENSMUSG00000101144.2	lncRNA	one-to-one	GENCODE.v27vsM16
ZEB1-AS1	ENSG00000237036.4	lncRNA	ENSMUSG00000063087.14	lncRNA	one-to-many	GENCODE.v27vsM16
MIR124-1HG	ENSG00000253230.8	lncRNA	ENSMUSG00000097545.7	lncRNA	many-to-many	GENCODE.v27vsM16
SAMMSON	ENSG00000240405.6	lncRNA	ENSMUSG00000107902.1	lncRNA	one-to-one	GENCODE.v27vsM16
STAU2-AS1	ENSG00000253302.1	lncRNA	ENSMUSG00000100868.1	lncRNA	one-to-one	GENCODE.v27vsM16
KRTAP5-AS1	ENSG00000233930.3	lncRNA	ENSMUSG00000109958.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000226530	ENSG00000226530.1	lncRNA	ENSMUSG00000097342.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01572	ENSG00000261008.6	lncRNA	ENSMUSG00000097393.8	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00607	ENSG00000235770.5	lncRNA	ENSMUSG00000102689.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000280291	ENSG00000280291.1	lncRNA	ENSMUSG00000100005.7	lncRNA	many-to-many	GENCODE.v27vsM16
MYT1L-AS1	ENSG00000225619.1	lncRNA	ENSMUSG00000112390.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02207	ENSG00000258476.5	lncRNA	ENSMUSG00000100670.1	lncRNA	one-to-many	GENCODE.v27vsM16
MEG3	ENSG00000214548.14	lncRNA	ENSMUSG00000021268.17	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000279196	ENSG00000279196.1	lncRNA	ENSMUSG00000108402.1	lncRNA	one-to-one	GENCODE.v27vsM16
TDRG1	ENSG00000204091.7	lncRNA	ENSMUSG00000101012.6	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000279342	ENSG00000279342.2	lncRNA	ENSMUSG00000110993.1	lncRNA	one-to-one	GENCODE.v27vsM16
MEG8	ENSG00000225746.9	lncRNA	ENSMUSG00000098202.1	lncRNA	many-to-many	GENCODE.v27vsM16
PAXBP1-AS1	ENSG00000238197.5	lncRNA	ENSMUSG00000087354.1	lncRNA	one-to-one	GENCODE.v27vsM16
FENDRR	ENSG00000268388.5	lncRNA	ENSMUSG00000097336.8	lncRNA	one-to-one	GENCODE.v27vsM16
ZMIZ1-AS1	ENSG00000224596.7	lncRNA	ENSMUSG00000087535.2	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG29	ENSG00000175061.17	lncRNA	ENSMUSG00000086841.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01102	ENSG00000235597.1	lncRNA	ENSMUSG00000101299.2	lncRNA	one-to-one	GENCODE.v27vsM16
CYP4F26P	ENSG00000226562.3	lncRNA	ENSMUSG00000109113.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01116	ENSG00000163364.9	lncRNA	ENSMUSG00000087333.1	lncRNA	one-to-one	GENCODE.v27vsM16
CCNT2-AS1	ENSG00000224043.7	lncRNA	ENSMUSG00000102014.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01117	ENSG00000224577.1	lncRNA	ENSMUSG00000100303.2	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000271555	ENSG00000271555.1	lncRNA	ENSMUSG00000090031.2	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00867	ENSG00000232139.5	lncRNA	ENSMUSG00000099678.1	lncRNA	one-to-one	GENCODE.v27vsM16
MESTIT1	ENSG00000272701.2	lncRNA	ENSMUSG00000107825.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01067	ENSG00000236053.1	lncRNA	ENSMUSG00000109432.1	lncRNA	one-to-one	GENCODE.v27vsM16
TMC3-AS1	ENSG00000259343.6	lncRNA	ENSMUSG00000087088.2	lncRNA	many-to-many	GENCODE.v27vsM16
IL12A-AS1	ENSG00000244040.5	lncRNA	ENSMUSG00000091272.2	lncRNA	many-to-many	GENCODE.v27vsM16
MIR22HG	ENSG00000186594.14	lncRNA	ENSMUSG00000085148.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01727	ENSG00000279082.3	lncRNA	ENSMUSG00000086509.2	lncRNA	one-to-many	GENCODE.v27vsM16
MIR23AHG	ENSG00000267519.5	lncRNA	ENSMUSG00000097296.1	lncRNA	one-to-many	GENCODE.v27vsM16
INTS6-AS1	ENSG00000236778.7	lncRNA	ENSMUSG00000097775.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01606	ENSG00000253301.5	lncRNA	ENSMUSG00000079171.3	lncRNA	many-to-many	GENCODE.v27vsM16
MIR17HG	ENSG00000215417.12	lncRNA	ENSMUSG00000089726.2	lncRNA	many-to-many	GENCODE.v27vsM16
WT1-AS	ENSG00000183242.11	lncRNA	ENSMUSG00000074987.9	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000261167	ENSG00000261167.1	lncRNA	ENSMUSG00000104344.1	lncRNA	many-to-many	GENCODE.v27vsM16
SPATA13	ENSG00000228741.2	lncRNA	ENSMUSG00000101797.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01934	ENSG00000234663.5	lncRNA	ENSMUSG00000102286.1	lncRNA	one-to-one	GENCODE.v27vsM16
LNC-LBCS	ENSG00000228412.7	lncRNA	ENSMUSG00000047324.5	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000263235	ENSG00000263235.1	lncRNA	ENSMUSG00000084790.1	lncRNA	one-to-one	GENCODE.v27vsM16
MORF4L2-AS1	ENSG00000231154.1	lncRNA	ENSMUSG00000087368.7	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01831	ENSG00000225765.1	lncRNA	ENSMUSG00000101919.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01159	ENSG00000229743.2	lncRNA	ENSMUSG00000097063.3	lncRNA	one-to-many	GENCODE.v27vsM16
