mm39	mm39 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000000290.14	pc	ENSG00000160255.19	pc	one-to-many
ENSMUSG00000087358.11	lncRNA	ENSG00000187754.9	pc	many-to-many
ENSMUSG00000085549.8	pc	ENSG00000293253.2	pc	many-to-many
ENSMUSG00000032840.8	pc	ENSG00000238188.1	other	one-to-many
ENSMUSG00000069893.11	pc	ENSG00000237693.5	pc	many-to-many
ENSMUSG00000124471.1	lncRNA	ENSG00000294841.1	lncRNA	one-to-one
ENSMUSG00000067365.12	pc	ENSG00000248128.1	other	one-to-many
ENSMUSG00000110387.2	other	ENSG00000236534.1	other	one-to-many
ENSMUSG00000083419.2	other	ENSG00000288887.3	lncRNA	many-to-many
ENSMUSG00000139867.1	lncRNA	ENSG00000239335.4	lncRNA	one-to-one
ENSMUSG00000081816.2	other	ENSG00000116455.14	pc	many-to-many
ENSMUSG00000037921.16	pc	ENSG00000137628.18	pc	many-to-many
ENSMUSG00000112931.2	pc	ENSG00000183684.8	pc	one-to-many
ENSMUSG00000097363.3	lncRNA	ENSG00000287742.2	lncRNA	one-to-one
ENSMUSG00000038963.16	pc	ENSG00000101187.16	pc	one-to-one
ENSMUSG00000020713.7	pc	ENSG00000136487.18	pc	many-to-many
ENSMUSG00000022683.14	pc	ENSG00000254609.1	other	many-to-many
ENSMUSG00000103658.2	other	ENSG00000226040.3	other	many-to-many
ENSMUSG00000087936.3	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000043664.8	pc	ENSG00000269035.1	pc	many-to-many
ENSMUSG00000028977.18	pc	ENSG00000259217.2	other	one-to-many
ENSMUSG00000073422.12	pc	ENSG00000204228.4	pc	one-to-many
ENSMUSG00000082585.4	other	ENSG00000236407.1	other	many-to-many
ENSMUSG00000120060.2	lncRNA	ENSG00000146409.12	pc	one-to-many
ENSMUSG00000080979.4	other	ENSG00000112110.10	pc	many-to-many
ENSMUSG00000124946.1	lncRNA	ENSG00000307189.1	lncRNA	one-to-many
ENSMUSG00000028807.3	pc	ENSG00000160062.15	pc	many-to-many
ENSMUSG00000032548.15	pc	ENSG00000243832.2	lncRNA	one-to-many
ENSMUSG00000055594.7	pc	ENSG00000134551.13	pc	one-to-many
ENSMUSG00000021607.10	pc	ENSG00000225392.1	other	many-to-many
ENSMUSG00000000827.19	pc	ENSG00000290226.1	lncRNA	many-to-many
ENSMUSG00000115159.2	other	ENSG00000169594.14	pc	one-to-many
ENSMUSG00000022763.19	pc	ENSG00000285314.1	lncRNA	many-to-many
ENSMUSG00000122168.1	lncRNA	ENSG00000165702.15	pc	one-to-many
ENSMUSG00000097039.11	lncRNA	ENSG00000249859.15	lncRNA	many-to-many
ENSMUSG00000025969.16	pc	ENSG00000118257.17	pc	one-to-one
ENSMUSG00000081504.4	other	ENSG00000230202.1	other	one-to-many
ENSMUSG00000072594.4	other	ENSG00000269509.1	other	many-to-many
ENSMUSG00002076767.1	ncRNA	ENSG00000218227.3	other	many-to-many
ENSMUSG00000022657.10	pc	ENSG00000153283.14	pc	one-to-one
ENSMUSG00000017386.11	pc	ENSG00000225869.4	other	many-to-many
ENSMUSG00000120104.2	lncRNA	ENSG00000110042.8	pc	one-to-many
ENSMUSG00000089304.3	ncRNA	ENSG00000233016.10	lncRNA	many-to-many
ENSMUSG00000093861.3	other	ENSG00000241566.1	other	many-to-many
ENSMUSG00000078768.3	pc	ENSG00000251247.13	pc	many-to-many
ENSMUSG00000002825.9	pc	ENSG00000213339.9	pc	one-to-one
ENSMUSG00000083094.3	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000142442.1	lncRNA	ENSG00000261215.1	lncRNA	many-to-many
ENSMUSG00000064289.16	pc	ENSG00000136560.14	pc	one-to-one
ENSMUSG00000067262.11	pc	ENSG00000233121.1	other	many-to-many
ENSMUSG00000003731.14	pc	ENSG00000025800.14	pc	many-to-many
ENSMUSG00000065939.3	ncRNA	ENSG00000207313.1	ncRNA	many-to-many
ENSMUSG00000005103.13	pc	ENSG00000223086.1	ncRNA	one-to-many
ENSMUSG00000127105.1	lncRNA	ENSG00000282978.1	other	one-to-many
ENSMUSG00000141841.1	lncRNA	ENSG00000258017.4	lncRNA	one-to-many
ENSMUSG00000049281.17	pc	ENSG00000166257.10	pc	one-to-one
ENSMUSG00000067870.6	other	ENSG00000242295.1	other	many-to-many
ENSMUSG00000070572.8	other	ENSG00000268412.2	other	many-to-many
ENSMUSG00000013033.17	pc	ENSG00000290928.2	lncRNA	many-to-many
ENSMUSG00000092565.2	other	ENSG00000224993.3	other	one-to-many
ENSMUSG00000067869.5	other	ENSG00000230409.3	other	many-to-many
ENSMUSG00000024603.9	pc	ENSG00000132912.14	pc	one-to-one
ENSMUSG00000065610.3	ncRNA	ENSG00000231721.9	lncRNA	many-to-many
ENSMUSG00000039298.17	pc	ENSG00000136861.19	pc	many-to-many
ENSMUSG00000121418.1	lncRNA	ENSG00000155906.20	pc	one-to-many
ENSMUSG00000020905.12	pc	ENSG00000154914.17	pc	one-to-one
ENSMUSG00000080816.2	other	ENSG00000213755.3	other	many-to-many
ENSMUSG00000091264.4	pc	ENSG00000293642.1	pc	one-to-many
ENSMUSG00000032307.17	pc	ENSG00000259633.1	other	many-to-many
ENSMUSG00000111312.2	lncRNA	ENSG00000110375.3	pc	one-to-many
ENSMUSG00000118406.2	lncRNA	ENSG00000270141.4	lncRNA	many-to-many
ENSMUSG00000096151.3	pc	ENSG00000166408.4	other	one-to-many
ENSMUSG00000107035.2	other	ENSG00000236994.1	other	many-to-many
ENSMUSG00000061969.10	other	ENSG00000271205.1	other	many-to-many
ENSMUSG00000038624.14	pc	ENSG00000188856.6	other	many-to-many
ENSMUSG00000024515.14	pc	ENSG00000141646.17	pc	many-to-many
ENSMUSG00000081665.3	pc	ENSG00000186818.13	pc	many-to-many
ENSMUSG00000107315.2	other	ENSG00000182330.11	pc	one-to-many
ENSMUSG00000100513.2	other	ENSG00000243964.1	other	one-to-many
ENSMUSG00000105388.2	other	ENSG00000237107.3	other	many-to-many
ENSMUSG00000103092.2	pc	ENSG00000204962.6	pc	many-to-many
ENSMUSG00000075297.11	pc	ENSG00000164520.12	pc	many-to-many
ENSMUSG00000090247.8	pc	ENSG00000135437.10	pc	many-to-many
ENSMUSG00000127246.1	lncRNA	ENSG00000205488.10	lncRNA	one-to-one
ENSMUSG00000043873.12	pc	ENSG00000134216.19	pc	one-to-many
ENSMUSG00000109333.3	lncRNA	ENSG00000229425.6	lncRNA	one-to-many
ENSMUSG00000094433.3	other	ENSG00000225523.2	other	one-to-many
ENSMUSG00000104755.3	ncRNA	ENSG00000252682.1	ncRNA	many-to-many
ENSMUSG00000138344.1	lncRNA	ENSG00000101883.6	pc	one-to-many
ENSMUSG00000082562.2	other	ENSG00000226396.1	other	one-to-many
ENSMUSG00000065442.3	ncRNA	ENSG00000283762.1	ncRNA	many-to-many
ENSMUSG00000078719.3	pc	ENSG00000215183.5	pc	one-to-one
ENSMUSG00000095789.7	pc	ENSG00000237491.11	lncRNA	many-to-many
ENSMUSG00000025059.17	pc	ENSG00000198814.14	pc	one-to-one
ENSMUSG00000102946.3	lncRNA	ENSG00000285090.2	lncRNA	one-to-many
ENSMUSG00000032207.11	pc	ENSG00000166035.11	pc	one-to-many
ENSMUSG00000101908.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000024270.12	pc	ENSG00000141424.13	pc	one-to-many
ENSMUSG00000072692.9	other	ENSG00000243680.1	other	many-to-many
ENSMUSG00000023452.20	pc	ENSG00000241878.12	pc	many-to-many
ENSMUSG00000035048.14	pc	ENSG00000271298.1	other	many-to-many
ENSMUSG00000017667.10	pc	ENSG00000291099.2	lncRNA	many-to-many
ENSMUSG00000027377.3	pc	ENSG00000240040.6	lncRNA	many-to-many
ENSMUSG00000034673.15	pc	ENSG00000204304.12	pc	many-to-many
ENSMUSG00000099620.2	other	ENSG00000183695.3	pc	one-to-many
ENSMUSG00000025532.14	pc	ENSG00000249319.2	pc	many-to-many
ENSMUSG00000102976.7	pc	ENSG00000058673.17	pc	many-to-many
ENSMUSG00000020471.12	pc	ENSG00000106628.13	pc	one-to-many
ENSMUSG00000024969.17	pc	ENSG00000219712.1	other	many-to-many
ENSMUSG00000112941.4	lncRNA	ENSG00000145920.15	pc	one-to-many
ENSMUSG00000035836.3	pc	ENSG00000213759.10	pc	many-to-many
ENSMUSG00000141779.1	lncRNA	ENSG00000241305.1	other	many-to-many
ENSMUSG00000110006.3	lncRNA	ENSG00000254302.3	lncRNA	one-to-many
ENSMUSG00000115236.2	pc	ENSG00000232109.1	other	many-to-many
ENSMUSG00000079215.9	pc	ENSG00000179195.16	pc	many-to-many
ENSMUSG00000055882.9	pc	ENSG00000183260.7	pc	one-to-one
ENSMUSG00000003660.11	pc	ENSG00000144028.15	pc	one-to-many
ENSMUSG00000032094.9	pc	ENSG00000167286.12	pc	one-to-one
ENSMUSG00000095971.2	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000050933.5	pc	ENSG00000228567.3	pc	many-to-many
ENSMUSG00000086119.4	lncRNA	ENSG00000235257.12	lncRNA	one-to-many
ENSMUSG00000083933.2	other	ENSG00000175886.10	other	one-to-many
ENSMUSG00000048039.9	pc	ENSG00000143319.18	pc	one-to-many
ENSMUSG00000034785.16	pc	ENSG00000211452.12	pc	one-to-one
ENSMUSG00000019790.18	pc	ENSG00000164506.16	pc	one-to-many
ENSMUSG00000090816.2	other	ENSG00000243022.1	other	one-to-many
ENSMUSG00000108743.2	other	ENSG00000186152.6	other	one-to-many
ENSMUSG00000114215.2	other	ENSG00000242667.1	other	many-to-many
ENSMUSG00000115224.2	other	ENSG00000226535.1	other	many-to-many
ENSMUSG00000031481.9	pc	ENSG00000259665.1	other	many-to-many
ENSMUSG00000107865.2	lncRNA	ENSG00000169604.21	pc	many-to-many
ENSMUSG00000046173.4	pc	ENSG00000289006.1	lncRNA	many-to-many
ENSMUSG00000033763.15	pc	ENSG00000132613.16	pc	one-to-one
ENSMUSG00000112140.2	other	ENSG00000139926.16	pc	many-to-many
ENSMUSG00000023806.11	pc	ENSG00000130363.14	pc	one-to-many
ENSMUSG00000101017.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000025812.19	pc	ENSG00000283930.1	pc	many-to-many
ENSMUSG00000101562.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000035673.11	pc	ENSG00000064932.16	pc	one-to-one
ENSMUSG00000085924.2	other	ENSG00000182333.15	pc	one-to-many
ENSMUSG00000038530.12	pc	ENSG00000117152.14	pc	one-to-one
ENSMUSG00000082308.2	other	ENSG00000262814.8	pc	many-to-many
ENSMUSG00000028159.15	pc	ENSG00000070190.13	pc	one-to-one
ENSMUSG00000093073.3	ncRNA	ENSG00000207816.1	ncRNA	many-to-many
ENSMUSG00000139197.1	lncRNA	ENSG00000231652.3	lncRNA	one-to-one
ENSMUSG00000028530.15	pc	ENSG00000162434.14	pc	one-to-many
ENSMUSG00000033569.18	pc	ENSG00000288712.1	pc	many-to-many
ENSMUSG00000081724.5	pc	ENSG00000170782.3	pc	one-to-many
ENSMUSG00000116634.2	other	ENSG00000099337.5	pc	one-to-many
ENSMUSG00000050966.10	pc	ENSG00000228473.1	other	one-to-many
ENSMUSG00000034681.18	pc	ENSG00000308608.1	lncRNA	many-to-many
ENSMUSG00000133359.1	lncRNA	ENSG00000173988.14	pc	one-to-many
ENSMUSG00002075155.1	ncRNA	ENSG00000201384.1	ncRNA	one-to-many
ENSMUSG00000021364.17	pc	ENSG00000197977.4	pc	one-to-one
ENSMUSG00000123711.1	lncRNA	ENSG00000226169.1	lncRNA	one-to-many
ENSMUSG00000027335.10	pc	ENSG00000171873.8	pc	one-to-one
ENSMUSG00000031851.15	pc	ENSG00000135778.12	pc	one-to-one
ENSMUSG00000097803.2	other	ENSG00000303369.1	lncRNA	many-to-many
ENSMUSG00000047428.15	pc	ENSG00000171462.15	pc	one-to-one
ENSMUSG00000117691.2	other	ENSG00000274308.1	other	one-to-many
ENSMUSG00000026821.17	pc	ENSG00000274356.1	other	many-to-many
ENSMUSG00000064637.3	ncRNA	ENSG00000229161.2	other	many-to-many
ENSMUSG00000088896.3	ncRNA	ENSG00000212589.1	ncRNA	many-to-many
ENSMUSG00000064016.5	pc	ENSG00000269586.8	pc	many-to-many
ENSMUSG00000025872.6	pc	ENSG00000051596.10	pc	many-to-many
ENSMUSG00000080615.3	ncRNA	ENSG00000197989.16	lncRNA	many-to-many
ENSMUSG00000040213.14	pc	ENSG00000213516.10	pc	many-to-many
ENSMUSG00000113445.2	other	ENSG00000223663.2	other	one-to-many
ENSMUSG00000058838.10	other	ENSG00000237490.3	other	many-to-many
ENSMUSG00000083160.2	other	ENSG00000224003.1	other	one-to-many
ENSMUSG00000068037.12	pc	ENSG00000130368.7	pc	many-to-many
ENSMUSG00000081440.3	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000022130.11	pc	ENSG00000088451.11	pc	one-to-one
ENSMUSG00000120316.2	lncRNA	ENSG00000067560.14	pc	many-to-many
ENSMUSG00000121341.1	lncRNA	ENSG00000239736.3	other	many-to-many
ENSMUSG00000031901.13	pc	ENSG00000167264.18	pc	many-to-many
ENSMUSG00000068566.14	pc	ENSG00000239649.4	other	many-to-many
ENSMUSG00000127484.1	lncRNA	ENSG00000242071.3	other	one-to-many
ENSMUSG00000125292.1	lncRNA	ENSG00000228649.12	lncRNA	one-to-many
ENSMUSG00000113279.2	other	ENSG00000233007.1	other	one-to-many
ENSMUSG00000108638.2	other	ENSG00000112078.14	pc	one-to-many
ENSMUSG00000037887.12	pc	ENSG00000291043.2	lncRNA	many-to-many
ENSMUSG00000035914.12	pc	ENSG00000103855.18	pc	one-to-one
ENSMUSG00000098530.2	pc	ENSG00000170270.5	pc	one-to-many
ENSMUSG00000118573.2	other	ENSG00000047597.7	pc	one-to-many
ENSMUSG00000047676.7	other	ENSG00000230592.2	other	many-to-many
ENSMUSG00000092237.4	other	ENSG00000233121.1	other	many-to-many
ENSMUSG00000123748.1	lncRNA	ENSG00000258747.3	lncRNA	one-to-one
ENSMUSG00000084838.4	other	ENSG00000301820.1	lncRNA	many-to-many
ENSMUSG00000095137.2	other	ENSG00000243314.1	other	one-to-many
ENSMUSG00000087376.4	pc	ENSG00000261341.7	pc	one-to-many
ENSMUSG00000020811.17	pc	ENSG00000285471.1	pc	one-to-many
ENSMUSG00000003273.15	pc	ENSG00000063180.9	pc	one-to-one
ENSMUSG00000136890.1	lncRNA	ENSG00000219867.1	other	one-to-many
ENSMUSG00000099764.2	other	ENSG00000213950.2	other	many-to-many
ENSMUSG00000021577.15	pc	ENSG00000286001.1	pc	many-to-many
ENSMUSG00000005442.14	pc	ENSG00000225880.7	lncRNA	many-to-many
ENSMUSG00000100357.3	lncRNA	ENSG00000236391.4	other	many-to-many
ENSMUSG00000118217.2	other	ENSG00000226549.3	other	many-to-many
ENSMUSG00000030804.9	pc	ENSG00000233243.1	other	many-to-many
ENSMUSG00000143148.1	lncRNA	ENSG00000228427.6	lncRNA	one-to-many
ENSMUSG00000066491.5	other	ENSG00000254642.1	other	one-to-many
ENSMUSG00000048834.17	pc	ENSG00000170419.11	pc	one-to-many
ENSMUSG00000065453.3	ncRNA	ENSG00000269929.7	lncRNA	many-to-many
ENSMUSG00000071493.6	pc	ENSG00000219770.1	other	one-to-many
ENSMUSG00000086962.5	pc	ENSG00000170271.11	pc	one-to-one
ENSMUSG00000092306.4	other	ENSG00000204622.12	other	many-to-many
ENSMUSG00000105223.2	other	ENSG00000119812.20	pc	one-to-many
ENSMUSG00000078632.5	pc	ENSG00000230069.3	other	many-to-many
ENSMUSG00002076916.1	ncRNA	ENSG00000259706.1	other	many-to-many
ENSMUSG00000071102.2	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000103800.2	pc	ENSG00000204965.9	pc	many-to-many
ENSMUSG00000090150.11	pc	ENSG00000274810.4	pc	many-to-many
ENSMUSG00000123345.1	lncRNA	ENSG00000306824.1	lncRNA	one-to-one
ENSMUSG00000103340.2	other	ENSG00000271691.1	other	many-to-many
ENSMUSG00000028441.13	pc	ENSG00000164972.14	pc	one-to-one
ENSMUSG00000025318.14	pc	ENSG00000154118.13	pc	one-to-one
ENSMUSG00000024889.6	pc	ENSG00000173653.8	pc	many-to-many
ENSMUSG00000069972.7	other	ENSG00000230175.1	other	many-to-many
ENSMUSG00000081546.2	other	ENSG00000238103.4	other	one-to-many
ENSMUSG00000077410.3	ncRNA	ENSG00000212589.1	ncRNA	one-to-many
ENSMUSG00000040269.6	pc	ENSG00000147586.10	pc	many-to-many
ENSMUSG00000114972.2	other	ENSG00000213866.3	other	one-to-many
ENSMUSG00000110333.2	pc	ENSG00000206192.7	other	many-to-many
ENSMUSG00000025154.16	pc	ENSG00000213390.11	pc	many-to-many
ENSMUSG00000120865.1	lncRNA	ENSG00000101558.14	pc	one-to-many
ENSMUSG00000110049.2	other	ENSG00000268685.1	other	many-to-many
ENSMUSG00000083185.3	other	ENSG00000174970.5	pc	one-to-many
ENSMUSG00000067399.11	pc	ENSG00000219061.4	other	many-to-many
ENSMUSG00000077431.3	ncRNA	ENSG00000248711.1	other	one-to-many
ENSMUSG00000118423.3	other	ENSG00000086200.17	pc	many-to-many
ENSMUSG00000056836.9	other	ENSG00000233626.2	other	many-to-many
ENSMUSG00000054013.7	pc	ENSG00000258986.7	pc	one-to-one
ENSMUSG00000101087.2	other	ENSG00000254529.1	other	many-to-many
ENSMUSG00000118401.2	pc	ENSG00000203737.5	pc	one-to-one
ENSMUSG00000038412.9	pc	ENSG00000258886.2	other	many-to-many
ENSMUSG00000028410.14	pc	ENSG00000305860.1	lncRNA	many-to-many
ENSMUSG00000121635.1	lncRNA	ENSG00000151693.11	pc	one-to-many
ENSMUSG00000082029.2	other	ENSG00000227430.1	other	many-to-many
ENSMUSG00000119179.1	ncRNA	ENSG00000233016.10	lncRNA	many-to-many
ENSMUSG00000063328.7	other	ENSG00000144426.19	pc	many-to-many
ENSMUSG00000047417.19	pc	ENSG00000276540.1	other	many-to-many
ENSMUSG00000103312.2	other	ENSG00000226632.1	other	one-to-many
ENSMUSG00000143041.1	lncRNA	ENSG00000081923.15	pc	one-to-many
ENSMUSG00000077305.3	ncRNA	ENSG00000212589.1	ncRNA	one-to-many
ENSMUSG00000020849.14	pc	ENSG00000308789.1	lncRNA	many-to-many
ENSMUSG00000101301.2	other	ENSG00000238103.4	other	one-to-many
ENSMUSG00000071497.5	pc	ENSG00000267507.1	other	many-to-many
ENSMUSG00000071324.12	pc	ENSG00000118690.13	pc	one-to-one
ENSMUSG00000054626.12	pc	ENSG00000139351.15	pc	one-to-many
ENSMUSG00000025466.20	pc	ENSG00000148803.13	pc	one-to-many
ENSMUSG00000069184.5	pc	ENSG00000268278.1	other	many-to-many
ENSMUSG00000082750.2	other	ENSG00000156110.15	pc	one-to-many
ENSMUSG00000076500.3	other	ENSG00000253278.1	other	many-to-many
ENSMUSG00000094090.3	other	ENSG00000214465.3	other	many-to-many
ENSMUSG00000070552.3	pc	ENSG00000254857.1	other	many-to-many
ENSMUSG00000109113.3	pc	ENSG00000303968.1	lncRNA	many-to-many
ENSMUSG00000046846.5	pc	ENSG00000290203.13	pc	many-to-many
ENSMUSG00000140910.1	lncRNA	ENSG00000213799.13	pc	many-to-many
ENSMUSG00000027810.15	pc	ENSG00000271582.1	other	one-to-many
ENSMUSG00000023353.15	pc	ENSG00000133612.20	pc	one-to-many
ENSMUSG00000033054.8	pc	ENSG00000149308.18	pc	one-to-one
ENSMUSG00000118193.2	lncRNA	ENSG00000145819.18	pc	one-to-many
ENSMUSG00000087930.3	ncRNA	ENSG00000201457.1	ncRNA	many-to-many
ENSMUSG00000007827.11	pc	ENSG00000278522.5	pc	many-to-many
ENSMUSG00000113197.2	other	ENSG00000108312.16	pc	one-to-many
ENSMUSG00000095275.2	pc	ENSG00000178201.5	pc	many-to-many
ENSMUSG00000090197.2	other	ENSG00000215007.3	other	one-to-many
ENSMUSG00000065272.3	ncRNA	ENSG00000226572.1	ncRNA	many-to-many
ENSMUSG00000082197.2	other	ENSG00000241022.1	other	one-to-many
ENSMUSG00000020630.10	pc	ENSG00000286905.1	pc	one-to-many
ENSMUSG00000021240.7	pc	ENSG00000258559.2	lncRNA	one-to-many
ENSMUSG00000024209.10	pc	ENSG00000130377.14	pc	many-to-many
ENSMUSG00000112165.2	other	ENSG00000225496.1	other	one-to-many
ENSMUSG00000035298.9	pc	ENSG00000149243.17	pc	one-to-one
ENSMUSG00000109497.2	pc	ENSG00000183303.3	pc	one-to-many
ENSMUSG00000105542.2	other	ENSG00000220793.5	other	one-to-many
ENSMUSG00000032589.15	pc	ENSG00000164061.5	pc	one-to-many
ENSMUSG00000081528.2	other	ENSG00000139351.15	pc	one-to-many
ENSMUSG00000133824.1	lncRNA	ENSG00000176007.10	other	many-to-many
ENSMUSG00000073448.5	pc	ENSG00000268100.1	other	many-to-many
ENSMUSG00000027405.17	pc	ENSG00000200113.1	ncRNA	many-to-many
ENSMUSG00000066877.12	pc	ENSG00000071051.14	pc	one-to-many
ENSMUSG00000078429.10	pc	ENSG00000207789.1	ncRNA	many-to-many
ENSMUSG00000103749.2	pc	ENSG00000253731.3	pc	many-to-many
ENSMUSG00000101154.2	other	ENSG00000150477.15	pc	one-to-many
ENSMUSG00000034761.17	pc	ENSG00000201573.1	ncRNA	one-to-many
ENSMUSG00000110475.3	lncRNA	ENSG00000187185.5	lncRNA	one-to-one
ENSMUSG00000022024.11	pc	ENSG00000254876.6	lncRNA	many-to-many
ENSMUSG00000094011.2	pc	ENSG00000268163.1	pc	many-to-many
ENSMUSG00000105143.2	other	ENSG00000270477.1	other	many-to-many
ENSMUSG00000100450.2	other	ENSG00000258357.1	other	one-to-many
ENSMUSG00000053469.15	pc	ENSG00000042832.12	pc	one-to-many
ENSMUSG00000050982.14	pc	ENSG00000100342.22	pc	many-to-many
ENSMUSG00000064666.3	ncRNA	ENSG00000199785.1	ncRNA	many-to-many
ENSMUSG00000054967.8	pc	ENSG00000275547.1	other	many-to-many
ENSMUSG00000092073.10	other	ENSG00000182330.11	pc	one-to-many
ENSMUSG00000001910.6	pc	ENSG00000160877.7	pc	one-to-many
ENSMUSG00000019146.3	pc	ENSG00000261675.1	lncRNA	one-to-many
ENSMUSG00000041324.15	pc	ENSG00000122641.11	pc	one-to-one
ENSMUSG00000043274.5	pc	ENSG00000174970.5	pc	one-to-many
ENSMUSG00000113654.4	lncRNA	ENSG00000310060.1	lncRNA	one-to-many
ENSMUSG00000123441.1	lncRNA	ENSG00000203864.3	lncRNA	one-to-one
ENSMUSG00000046210.8	pc	ENSG00000285491.1	other	many-to-many
ENSMUSG00000070073.3	ncRNA	ENSG00000216075.1	ncRNA	one-to-many
ENSMUSG00000117978.2	other	ENSG00000235363.1	other	one-to-many
ENSMUSG00000014932.16	pc	ENSG00000224003.1	other	many-to-many
ENSMUSG00000072621.15	other	ENSG00000154760.14	pc	one-to-many
ENSMUSG00000073012.3	pc	ENSG00000223592.2	other	many-to-many
ENSMUSG00000141364.1	lncRNA	ENSG00000300547.1	lncRNA	one-to-one
ENSMUSG00000022335.18	pc	ENSG00000066827.16	pc	one-to-one
ENSMUSG00000028889.18	pc	ENSG00000196449.4	pc	one-to-many
ENSMUSG00000086216.3	lncRNA	ENSG00000176868.3	lncRNA	one-to-one
ENSMUSG00000103458.2	pc	ENSG00000253305.3	pc	many-to-many
ENSMUSG00000006442.11	pc	ENSG00000116649.10	pc	one-to-many
ENSMUSG00000024991.9	pc	ENSG00000107581.14	pc	one-to-many
ENSMUSG00000083992.2	other	ENSG00000213885.5	other	many-to-many
ENSMUSG00000081128.2	other	ENSG00000250547.1	other	many-to-many
ENSMUSG00000144059.1	lncRNA	ENSG00000175854.15	pc	one-to-many
ENSMUSG00000143378.1	lncRNA	ENSG00000165283.16	pc	one-to-many
ENSMUSG00000106460.2	other	ENSG00000218868.1	other	one-to-many
ENSMUSG00000133410.1	lncRNA	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000115786.2	other	ENSG00000214110.3	other	many-to-many
ENSMUSG00000023027.14	pc	ENSG00000123268.9	pc	one-to-many
ENSMUSG00000074397.6	pc	ENSG00000176302.13	pc	one-to-one
ENSMUSG00000071855.6	pc	ENSG00000164221.13	pc	one-to-one
ENSMUSG00000130184.1	lncRNA	ENSG00000224729.7	lncRNA	many-to-many
ENSMUSG00000024116.7	pc	ENSG00000215148.11	pc	many-to-many
ENSMUSG00000043943.15	pc	ENSG00000077616.11	pc	many-to-many
ENSMUSG00000138590.1	lncRNA	ENSG00000294336.1	lncRNA	one-to-many
ENSMUSG00000069053.12	pc	ENSG00000130985.17	pc	one-to-many
ENSMUSG00000026004.16	pc	ENSG00000196911.12	pc	many-to-many
ENSMUSG00000052562.16	pc	ENSG00000197658.9	pc	many-to-many
ENSMUSG00000090733.7	pc	ENSG00000177954.14	pc	one-to-one
ENSMUSG00000057551.11	pc	ENSG00000215343.8	pc	many-to-many
ENSMUSG00000094595.2	pc	ENSG00000265817.4	pc	many-to-many
ENSMUSG00000022210.8	pc	ENSG00000157326.19	pc	many-to-many
ENSMUSG00000112771.3	lncRNA	ENSG00000257746.3	lncRNA	one-to-one
ENSMUSG00000074375.4	pc	ENSG00000105398.4	pc	one-to-many
ENSMUSG00000124971.1	lncRNA	ENSG00000289926.2	lncRNA	one-to-one
ENSMUSG00000095125.3	pc	ENSG00000287966.4	lncRNA	many-to-many
ENSMUSG00000094535.3	pc	ENSG00000170923.4	pc	one-to-many
ENSMUSG00000088047.3	ncRNA	ENSG00000233016.10	lncRNA	many-to-many
ENSMUSG00000115034.2	other	ENSG00000071553.18	pc	one-to-many
ENSMUSG00000119968.2	lncRNA	ENSG00000253361.4	lncRNA	many-to-many
ENSMUSG00000105301.2	other	ENSG00000251546.1	other	one-to-many
ENSMUSG00000118662.2	pc	ENSG00000168778.13	pc	one-to-one
ENSMUSG00000094035.4	pc	ENSG00000187942.12	pc	one-to-one
ENSMUSG00000018907.11	pc	ENSG00000262943.10	other	one-to-many
ENSMUSG00000022015.9	pc	ENSG00000289033.3	lncRNA	one-to-many
ENSMUSG00000117438.2	other	ENSG00000233071.3	other	many-to-many
ENSMUSG00000083428.2	other	ENSG00000257043.1	other	one-to-many
ENSMUSG00000092534.9	lncRNA	ENSG00000013364.19	pc	many-to-many
ENSMUSG00000078087.6	other	ENSG00000230283.1	other	many-to-many
ENSMUSG00000039903.19	pc	ENSG00000244699.1	other	many-to-many
ENSMUSG00000000739.15	pc	ENSG00000260280.5	lncRNA	many-to-many
ENSMUSG00000073433.12	pc	ENSG00000242173.10	pc	one-to-many
ENSMUSG00000115038.2	other	ENSG00000232385.2	other	one-to-many
ENSMUSG00000053719.11	pc	ENSG00000167748.11	pc	many-to-many
ENSMUSG00000034101.15	pc	ENSG00000254732.2	pc	many-to-many
ENSMUSG00000066938.4	lncRNA	ENSG00000269210.4	lncRNA	one-to-one
ENSMUSG00000039838.12	pc	ENSG00000162426.16	pc	one-to-one
ENSMUSG00000119320.1	ncRNA	ENSG00000206937.1	ncRNA	many-to-many
ENSMUSG00000063932.6	pc	ENSG00000288694.2	other	many-to-many
ENSMUSG00000098306.10	pc	ENSG00000143839.15	pc	many-to-many
ENSMUSG00000041096.14	pc	ENSG00000308528.1	lncRNA	many-to-many
ENSMUSG00000033313.12	pc	ENSG00000135722.9	pc	many-to-many
ENSMUSG00000121929.1	other	ENSG00000169093.16	pc	many-to-many
ENSMUSG00000097322.10	lncRNA	ENSG00000236869.5	lncRNA	one-to-one
