# Orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_id	H_gene_type	M_gene_id	M_gene_type	gencode_versions
ENSG00000229807.10	lncRNA	ENSMUSG00000099312.1	ncRNA	many-to-many
ENSG00000274272.1	lncRNA	ENSMUSG00000093445.7	pc	many-to-many
ENSG00000232347.1	lncRNA	ENSMUSG00000033883.11	pc	many-to-many
ENSG00000180279.6	lncRNA	ENSMUSG00000038782.6	pc	one-to-many
ENSG00000248671.7	lncRNA	ENSMUSG00000066647.6	pc	many-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000075395.10	pc	many-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000098137.3	other	many-to-many
ENSG00000225746.9	lncRNA	ENSMUSG00000089517.1	ncRNA	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000114923.1	pc	many-to-many
ENSG00000265142.8	lncRNA	ENSMUSG00000106348.1	ncRNA	one-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000083180.1	other	many-to-many
ENSG00000268362.5	lncRNA	ENSMUSG00000033972.9	pc	many-to-many
ENSG00000269758.1	lncRNA	ENSMUSG00000067942.5	pc	many-to-many
ENSG00000215304.3	lncRNA	ENSMUSG00000032307.16	pc	many-to-many
ENSG00000197332.8	lncRNA	ENSMUSG00000114839.1	other	many-to-many
ENSG00000242288.9	lncRNA	ENSMUSG00000030138.8	pc	many-to-many
ENSG00000253104.1	lncRNA	ENSMUSG00000103296.1	lncRNA	one-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000058883.16	pc	many-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000060314.13	pc	many-to-many
ENSG00000189223.14	lncRNA	ENSMUSG00000021759.14	pc	many-to-many
ENSG00000233030.2	lncRNA	ENSMUSG00000050936.5	lncRNA	one-to-many
ENSG00000225766.9	lncRNA	ENSMUSG00000022211.9	pc	many-to-many
ENSG00000258399.7	lncRNA	ENSMUSG00000084549.1	ncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000096455.1	ncRNA	many-to-many
ENSG00000238266.1	lncRNA	ENSMUSG00000094079.1	other	many-to-many
ENSG00000223482.7	lncRNA	ENSMUSG00000113353.1	other	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000100265.1	pc	many-to-many
ENSG00000282508.1	lncRNA	ENSMUSG00000025484.9	pc	many-to-many
ENSG00000240553.1	lncRNA	ENSMUSG00000001089.14	pc	many-to-many
ENSG00000260599.1	lncRNA	ENSMUSG00000021039.9	pc	many-to-many
ENSG00000232347.1	lncRNA	ENSMUSG00000056014.15	pc	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000105325.1	other	many-to-many
ENSG00000258377.1	lncRNA	ENSMUSG00000049751.6	pc	many-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000114923.1	pc	many-to-many
ENSG00000259363.5	lncRNA	ENSMUSG00000030519.14	pc	many-to-many
ENSG00000269082.1	lncRNA	ENSMUSG00000070605.4	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000080733.2	other	many-to-many
ENSG00000225746.9	lncRNA	ENSMUSG00000098061.1	lncRNA	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098187.1	other	many-to-many
ENSG00000235494.1	lncRNA	ENSMUSG00000059206.4	pc	many-to-many
ENSG00000223482.7	lncRNA	ENSMUSG00000027134.4	pc	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000033972.9	pc	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000097333.7	pc	many-to-many
ENSG00000224905.6	lncRNA	ENSMUSG00000081949.3	other	many-to-many
ENSG00000279192.1	lncRNA	ENSMUSG00000077191.1	ncRNA	many-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000098905.2	pc	many-to-many
ENSG00000232931.5	lncRNA	ENSMUSG00000053702.16	pc	many-to-many
ENSG00000253678.1	lncRNA	ENSMUSG00000034623.14	pc	many-to-many
ENSG00000274265.4	lncRNA	ENSMUSG00000037119.4	pc	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000113075.1	other	many-to-many
ENSG00000253181.1	lncRNA	ENSMUSG00000109603.1	lncRNA	one-to-one
ENSG00000260032.1	lncRNA	ENSMUSG00000104222.1	lncRNA	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000110966.1	other	many-to-many
ENSG00000231566.1	lncRNA	ENSMUSG00000097497.1	lncRNA	one-to-one
ENSG00000276148.1	lncRNA	ENSMUSG00000079139.4	other	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000062518.7	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000098103.1	other	many-to-many
ENSG00000275239.4	lncRNA	ENSMUSG00000070871.10	pc	many-to-many
ENSG00000267188.1	lncRNA	ENSMUSG00000082802.2	other	many-to-many
ENSG00000269082.1	lncRNA	ENSMUSG00000047342.17	pc	many-to-many
ENSG00000233101.10	lncRNA	ENSMUSG00000085645.1	lncRNA	many-to-many
ENSG00000243766.7	lncRNA	ENSMUSG00000099229.1	ncRNA	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000110109.1	other	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000097371.1	other	many-to-many
ENSG00000211683.3	lncRNA	ENSMUSG00000056824.15	pc	many-to-many
ENSG00000256717.1	lncRNA	ENSMUSG00000111669.1	lncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088084.1	ncRNA	many-to-many
ENSG00000233452.6	lncRNA	ENSMUSG00000101621.2	lncRNA	one-to-many
ENSG00000268362.5	lncRNA	ENSMUSG00000048280.18	pc	many-to-many
ENSG00000250132.6	lncRNA	ENSMUSG00000107185.1	other	many-to-many
ENSG00000234918.1	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many
ENSG00000257621.7	lncRNA	ENSMUSG00000115212.1	other	many-to-many
ENSG00000232139.5	lncRNA	ENSMUSG00000099678.1	lncRNA	one-to-one
ENSG00000219665.8	lncRNA	ENSMUSG00000074165.10	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077197.1	ncRNA	many-to-many
ENSG00000219665.8	lncRNA	ENSMUSG00000064194.10	pc	many-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000114275.1	other	many-to-many
ENSG00000234918.1	lncRNA	ENSMUSG00000079324.11	pc	many-to-many
ENSG00000274265.4	lncRNA	ENSMUSG00000082542.2	other	many-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000070605.4	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098073.1	other	many-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000107333.1	other	many-to-many
ENSG00000282199.1	lncRNA	ENSMUSG00000078632.3	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077558.1	ncRNA	many-to-many
ENSG00000271860.6	lncRNA	ENSMUSG00000099150.1	lncRNA	one-to-many
ENSG00000277767.1	lncRNA	ENSMUSG00000109810.1	lncRNA	one-to-one
ENSG00000250696.5	lncRNA	ENSMUSG00000106677.1	pc	many-to-many
ENSG00000253301.5	lncRNA	ENSMUSG00000110554.1	lncRNA	many-to-many
ENSG00000283095.1	lncRNA	ENSMUSG00000110487.1	other	many-to-many
ENSG00000248540.2	lncRNA	ENSMUSG00000081561.1	other	many-to-many
ENSG00000211683.3	lncRNA	ENSMUSG00000025812.17	pc	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000101415.1	pc	many-to-many
ENSG00000196696.12	lncRNA	ENSMUSG00000030935.15	pc	many-to-many
ENSG00000266994.1	lncRNA	ENSMUSG00000046658.16	pc	many-to-many
ENSG00000181798.2	lncRNA	ENSMUSG00000064823.1	ncRNA	many-to-many
ENSG00000272752.6	lncRNA	ENSMUSG00000029610.13	pc	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098079.1	other	many-to-many
ENSG00000260751.2	lncRNA	ENSMUSG00000030870.12	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098190.1	other	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098149.1	other	many-to-many
ENSG00000180910.7	lncRNA	ENSMUSG00000065110.4	ncRNA	many-to-many
ENSG00000177410.12	lncRNA	ENSMUSG00000077565.1	ncRNA	many-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000090744.7	pc	many-to-many
ENSG00000250392.2	lncRNA	ENSMUSG00000103499.5	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077325.1	ncRNA	many-to-many
ENSG00000284634.1	lncRNA	ENSMUSG00000087150.7	other	many-to-many
ENSG00000254860.5	lncRNA	ENSMUSG00000084216.1	other	many-to-many
ENSG00000231412.2	lncRNA	ENSMUSG00000003505.15	pc	many-to-many
ENSG00000229021.2	lncRNA	ENSMUSG00000021725.9	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000098149.1	other	many-to-many
ENSG00000261886.1	lncRNA	ENSMUSG00000085154.7	lncRNA	one-to-one
ENSG00000197332.8	lncRNA	ENSMUSG00000106002.1	lncRNA	many-to-many
ENSG00000238266.1	lncRNA	ENSMUSG00000082732.1	other	many-to-many
ENSG00000280009.1	lncRNA	ENSMUSG00000063895.7	pc	many-to-many
ENSG00000215117.5	lncRNA	ENSMUSG00000109578.1	other	one-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000107981.1	other	many-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000106421.1	other	many-to-many
ENSG00000196295.11	lncRNA	ENSMUSG00000021039.9	pc	many-to-many
ENSG00000219665.8	lncRNA	ENSMUSG00000084198.1	other	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000095658.1	pc	many-to-many
ENSG00000224078.13	lncRNA	ENSMUSG00000094034.1	ncRNA	many-to-many
ENSG00000264772.6	lncRNA	ENSMUSG00000083659.1	other	many-to-many
ENSG00000196696.12	lncRNA	ENSMUSG00000030972.6	pc	many-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000103333.1	other	many-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000115253.1	pc	many-to-many
ENSG00000259001.3	lncRNA	ENSMUSG00000088093.1	ncRNA	many-to-many
ENSG00000214188.9	lncRNA	ENSMUSG00000098567.1	ncRNA	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000081696.2	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077660.1	ncRNA	many-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000090808.2	pc	many-to-many
ENSG00000278576.1	lncRNA	ENSMUSG00000113196.1	lncRNA	many-to-many
ENSG00000273618.1	lncRNA	ENSMUSG00000100162.2	lncRNA	many-to-many
ENSG00000265257.5	lncRNA	ENSMUSG00000034647.14	pc	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000100265.1	pc	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000081590.1	other	many-to-many
ENSG00000215117.5	lncRNA	ENSMUSG00000107280.1	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077181.1	ncRNA	many-to-many
ENSG00000279542.1	lncRNA	ENSMUSG00000048070.4	pc	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000110371.1	other	many-to-many
ENSG00000224577.1	lncRNA	ENSMUSG00000100303.2	lncRNA	one-to-one
ENSG00000223525.1	lncRNA	ENSMUSG00000026721.15	pc	one-to-many
ENSG00000223546.6	lncRNA	ENSMUSG00000115450.1	other	many-to-many
ENSG00000260032.1	lncRNA	ENSMUSG00000037017.15	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000110371.1	other	many-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000086147.2	pc	many-to-many
ENSG00000231154.1	lncRNA	ENSMUSG00000087368.7	lncRNA	one-to-many
ENSG00000214188.9	lncRNA	ENSMUSG00000099244.1	ncRNA	one-to-many
ENSG00000271880.1	lncRNA	ENSMUSG00000032425.15	pc	many-to-many
ENSG00000223749.9	lncRNA	ENSMUSG00000101603.1	lncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088019.1	ncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000089439.1	ncRNA	many-to-many
ENSG00000237310.1	lncRNA	ENSMUSG00000001833.17	pc	many-to-many
ENSG00000151303.11	lncRNA	ENSMUSG00000070871.10	pc	many-to-many
ENSG00000268362.5	lncRNA	ENSMUSG00000051341.5	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077398.1	ncRNA	many-to-many
ENSG00000249602.1	lncRNA	ENSMUSG00000028140.13	pc	one-to-many
ENSG00000250436.1	lncRNA	ENSMUSG00000070690.7	pc	one-to-many
ENSG00000254929.6	lncRNA	ENSMUSG00000025422.9	pc	many-to-many
ENSG00000228010.5	lncRNA	ENSMUSG00000057982.8	pc	many-to-many
ENSG00000224905.6	lncRNA	ENSMUSG00000030424.15	other	many-to-many
ENSG00000243961.2	lncRNA	ENSMUSG00000074771.10	pc	one-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000093552.1	other	many-to-many
ENSG00000258399.7	lncRNA	ENSMUSG00000088294.1	ncRNA	many-to-many
ENSG00000232347.1	lncRNA	ENSMUSG00000085103.3	other	many-to-many
ENSG00000283294.1	lncRNA	ENSMUSG00000075395.10	pc	many-to-many
ENSG00000231046.1	lncRNA	ENSMUSG00000097890.2	lncRNA	one-to-one
ENSG00000246174.7	lncRNA	ENSMUSG00000114054.1	other	many-to-many
ENSG00000217576.7	lncRNA	ENSMUSG00000028327.14	pc	many-to-many
ENSG00000225484.6	lncRNA	ENSMUSG00000027134.4	pc	many-to-many
ENSG00000211683.3	lncRNA	ENSMUSG00000055214.15	pc	many-to-many
ENSG00000258725.1	lncRNA	ENSMUSG00000038930.11	pc	one-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000057982.8	pc	many-to-many
ENSG00000224078.13	lncRNA	ENSMUSG00000094923.1	ncRNA	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000094396.1	pc	many-to-many
ENSG00000267062.1	lncRNA	ENSMUSG00000083890.1	other	many-to-many
ENSG00000235661.3	lncRNA	ENSMUSG00000075020.6	lncRNA	many-to-many
ENSG00000269929.1	lncRNA	ENSMUSG00000097375.2	lncRNA	many-to-many
ENSG00000278044.1	lncRNA	ENSMUSG00000009681.10	pc	many-to-many
ENSG00000283095.1	lncRNA	ENSMUSG00000091818.3	other	many-to-many
ENSG00000183242.11	lncRNA	ENSMUSG00000098459.1	ncRNA	one-to-many
ENSG00000197332.8	lncRNA	ENSMUSG00000079008.2	pc	many-to-many
ENSG00000233098.8	lncRNA	ENSMUSG00000042331.13	pc	one-to-many
ENSG00000272752.6	lncRNA	ENSMUSG00000066684.10	pc	many-to-many
ENSG00000243926.1	lncRNA	ENSMUSG00000092301.1	other	many-to-many
ENSG00000231817.7	lncRNA	ENSMUSG00000062433.3	pc	one-to-many
ENSG00000245213.6	lncRNA	ENSMUSG00000110419.1	lncRNA	one-to-one
ENSG00000231119.2	lncRNA	ENSMUSG00000086820.1	lncRNA	one-to-half
ENSG00000255410.1	lncRNA	ENSMUSG00000083500.1	other	many-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000058883.16	pc	many-to-many
ENSG00000278344.1	lncRNA	ENSMUSG00000041733.10	pc	one-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000060314.13	pc	many-to-many
ENSG00000244040.5	lncRNA	ENSMUSG00000091272.2	lncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077641.1	ncRNA	many-to-many
ENSG00000273189.1	lncRNA	ENSMUSG00000089989.10	pc	many-to-many
ENSG00000272679.1	lncRNA	ENSMUSG00000078139.3	pc	many-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000081112.1	other	many-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000057409.6	pc	many-to-many
ENSG00000272070.1	lncRNA	ENSMUSG00000073590.3	lncRNA	one-to-one
ENSG00000241014.1	lncRNA	ENSMUSG00000070737.10	pc	many-to-many
ENSG00000254854.1	lncRNA	ENSMUSG00000111129.1	lncRNA	one-to-many
ENSG00000273066.5	lncRNA	ENSMUSG00000078139.3	pc	many-to-many
ENSG00000231248.2	lncRNA	ENSMUSG00000101356.1	lncRNA	one-to-many
ENSG00000215117.5	lncRNA	ENSMUSG00000109344.1	pc	many-to-many
ENSG00000224078.13	lncRNA	ENSMUSG00000094573.1	ncRNA	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000073737.3	other	many-to-many
ENSG00000176728.7	lncRNA	ENSMUSG00000037610.15	pc	many-to-many
ENSG00000197332.8	lncRNA	ENSMUSG00000084198.1	other	many-to-many
ENSG00000260528.4	lncRNA	ENSMUSG00000015944.9	pc	many-to-many
ENSG00000243008.2	lncRNA	ENSMUSG00000022433.18	pc	many-to-many
ENSG00000268230.5	lncRNA	ENSMUSG00000054967.6	pc	many-to-many
ENSG00000254905.1	lncRNA	ENSMUSG00000110774.1	lncRNA	one-to-one
ENSG00000284534.1	lncRNA	ENSMUSG00000115253.1	pc	many-to-many
ENSG00000217576.7	lncRNA	ENSMUSG00000031480.15	pc	one-to-many
ENSG00000131007.9	lncRNA	ENSMUSG00000082499.1	other	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000082148.1	other	many-to-many
ENSG00000266473.1	lncRNA	ENSMUSG00000115626.1	other	many-to-many
ENSG00000215117.5	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many
ENSG00000271938.1	lncRNA	ENSMUSG00000054822.5	lncRNA	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000080303.2	other	many-to-many
ENSG00000233922.2	lncRNA	ENSMUSG00000102522.1	lncRNA	one-to-one
ENSG00000136315.4	lncRNA	ENSMUSG00000072599.3	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088829.1	ncRNA	many-to-many
ENSG00000272755.1	lncRNA	ENSMUSG00000115766.1	other	many-to-many
ENSG00000244128.5	lncRNA	ENSMUSG00000103428.1	lncRNA	one-to-one
ENSG00000232732.9	lncRNA	ENSMUSG00000097519.2	lncRNA	one-to-one
ENSG00000267383.6	lncRNA	ENSMUSG00000082338.1	other	many-to-many
ENSG00000238009.6	lncRNA	ENSMUSG00000034219.15	pc	many-to-many
ENSG00000229719.5	lncRNA	ENSMUSG00000065523.1	ncRNA	one-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000062743.9	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000098138.1	other	many-to-many
ENSG00000273433.1	lncRNA	ENSMUSG00000000942.10	pc	one-to-many
ENSG00000241657.1	lncRNA	ENSMUSG00000076471.3	other	one-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000101551.1	other	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000037001.10	pc	many-to-many
ENSG00000177337.7	lncRNA	ENSMUSG00000097282.1	lncRNA	one-to-one
ENSG00000214900.9	lncRNA	ENSMUSG00000110469.1	pc	many-to-many
ENSG00000248668.2	lncRNA	ENSMUSG00000087221.3	lncRNA	one-to-one
ENSG00000284722.1	lncRNA	ENSMUSG00000090602.3	other	many-to-many
ENSG00000180279.6	lncRNA	ENSMUSG00000108796.1	other	one-to-many
ENSG00000238266.1	lncRNA	ENSMUSG00000101765.1	other	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000113301.1	other	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000093685.1	other	many-to-many
ENSG00000214548.14	lncRNA	ENSMUSG00000098725.1	ncRNA	many-to-many
ENSG00000223814.1	lncRNA	ENSMUSG00000107546.1	lncRNA	many-to-many
ENSG00000272277.1	lncRNA	ENSMUSG00000082986.1	other	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000069476.13	pc	many-to-many
ENSG00000249492.1	lncRNA	ENSMUSG00000074635.2	pc	one-to-one
ENSG00000236703.1	lncRNA	ENSMUSG00000097923.1	lncRNA	one-to-one
ENSG00000260160.1	lncRNA	ENSMUSG00000062743.9	pc	many-to-many
ENSG00000238266.1	lncRNA	ENSMUSG00000100613.1	other	many-to-many
ENSG00000214432.9	lncRNA	ENSMUSG00000021040.15	pc	one-to-many
ENSG00000239225.1	lncRNA	ENSMUSG00000091749.7	other	many-to-many
ENSG00000236094.1	lncRNA	ENSMUSG00000029659.16	pc	many-to-many
ENSG00000273002.1	lncRNA	ENSMUSG00000093390.1	lncRNA	one-to-one
ENSG00000255717.6	lncRNA	ENSMUSG00000084668.1	ncRNA	many-to-many
ENSG00000224905.6	lncRNA	ENSMUSG00000067929.3	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000098232.1	other	one-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000082861.3	other	many-to-many
ENSG00000259923.1	lncRNA	ENSMUSG00000044065.3	other	many-to-many
ENSG00000225783.6	lncRNA	ENSMUSG00000099235.1	ncRNA	many-to-many
ENSG00000278600.1	lncRNA	ENSMUSG00000036087.18	pc	one-to-many
ENSG00000258763.5	lncRNA	ENSMUSG00000061961.3	pc	one-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000094421.2	other	many-to-many
ENSG00000254468.2	lncRNA	ENSMUSG00000034219.15	pc	many-to-many
ENSG00000283155.1	lncRNA	ENSMUSG00000006050.11	pc	many-to-many
ENSG00000197989.13	lncRNA	ENSMUSG00000095176.1	ncRNA	many-to-many
ENSG00000255406.1	lncRNA	ENSMUSG00000110836.1	lncRNA	one-to-one
ENSG00000223390.1	lncRNA	ENSMUSG00000090551.1	pc	one-to-one
ENSG00000251170.5	lncRNA	ENSMUSG00000024145.6	pc	many-to-many
ENSG00000247950.6	lncRNA	ENSMUSG00000096520.7	pc	many-to-many
ENSG00000261069.3	lncRNA	ENSMUSG00000096390.1	ncRNA	many-to-many
ENSG00000283352.1	lncRNA	ENSMUSG00000075370.10	pc	many-to-many
ENSG00000267827.5	lncRNA	ENSMUSG00000104031.1	other	many-to-many
ENSG00000232934.7	lncRNA	ENSMUSG00000024982.10	pc	one-to-many
ENSG00000284623.1	lncRNA	ENSMUSG00000073759.6	lncRNA	one-to-one
ENSG00000255410.1	lncRNA	ENSMUSG00000086414.2	other	many-to-many
ENSG00000237753.1	lncRNA	ENSMUSG00000103532.1	lncRNA	one-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000048280.18	pc	many-to-many
ENSG00000277476.1	lncRNA	ENSMUSG00000003199.16	pc	one-to-many
ENSG00000277135.1	lncRNA	ENSMUSG00000100005.7	lncRNA	many-to-many
ENSG00000248671.7	lncRNA	ENSMUSG00000073427.4	pc	many-to-many
ENSG00000267827.5	lncRNA	ENSMUSG00000095432.9	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000078967.5	other	many-to-many
ENSG00000234625.1	lncRNA	ENSMUSG00000103140.1	lncRNA	one-to-one
ENSG00000281398.2	lncRNA	ENSMUSG00000097769.7	lncRNA	many-to-many
ENSG00000272755.1	lncRNA	ENSMUSG00000109613.1	other	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098218.1	other	many-to-many
ENSG00000277147.4	lncRNA	ENSMUSG00000021725.9	pc	one-to-many
ENSG00000259827.1	lncRNA	ENSMUSG00000044065.3	other	many-to-many
ENSG00000217576.7	lncRNA	ENSMUSG00000035539.13	pc	many-to-many
ENSG00000255404.1	lncRNA	ENSMUSG00000082144.1	other	many-to-many
ENSG00000261313.1	lncRNA	ENSMUSG00000068810.5	other	one-to-half
ENSG00000230303.5	lncRNA	ENSMUSG00000097399.7	lncRNA	one-to-many
ENSG00000226067.6	lncRNA	ENSMUSG00000038170.15	pc	many-to-many
ENSG00000268119.5	lncRNA	ENSMUSG00000110292.1	other	many-to-many
ENSG00000214783.9	lncRNA	ENSMUSG00000004952.13	pc	many-to-many
ENSG00000283294.1	lncRNA	ENSMUSG00000091586.1	pc	many-to-many
ENSG00000131007.9	lncRNA	ENSMUSG00000040586.8	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098057.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077780.1	ncRNA	many-to-many
ENSG00000272815.1	lncRNA	ENSMUSG00000053654.7	pc	many-to-many
ENSG00000224905.6	lncRNA	ENSMUSG00000055480.7	pc	many-to-many
ENSG00000251611.1	lncRNA	ENSMUSG00000106508.1	lncRNA	one-to-one
ENSG00000189295.13	lncRNA	ENSMUSG00000074404.6	lncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088469.1	ncRNA	many-to-many
ENSG00000255410.1	lncRNA	ENSMUSG00000106080.1	other	many-to-many
ENSG00000228223.3	lncRNA	ENSMUSG00000032553.14	pc	many-to-many
ENSG00000213904.8	lncRNA	ENSMUSG00000053714.8	lncRNA	one-to-many
ENSG00000272679.1	lncRNA	ENSMUSG00000026939.12	pc	many-to-many
ENSG00000265359.1	lncRNA	ENSMUSG00000084890.1	lncRNA	one-to-one
ENSG00000233145.1	lncRNA	ENSMUSG00000083047.1	other	many-to-many
ENSG00000243349.2	lncRNA	ENSMUSG00000020646.17	pc	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000071266.13	pc	many-to-many
ENSG00000259084.6	lncRNA	ENSMUSG00000113051.1	other	many-to-many
ENSG00000272755.1	lncRNA	ENSMUSG00000106009.1	other	many-to-many
ENSG00000205663.5	lncRNA	ENSMUSG00000021271.5	pc	one-to-many
ENSG00000267246.1	lncRNA	ENSMUSG00000034239.14	pc	one-to-many
ENSG00000246130.1	lncRNA	ENSMUSG00000022074.6	pc	one-to-many
ENSG00000180279.6	lncRNA	ENSMUSG00000062073.6	other	one-to-many
ENSG00000283549.1	lncRNA	ENSMUSG00000046952.8	other	many-to-many
ENSG00000284116.1	lncRNA	ENSMUSG00000113503.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077392.1	ncRNA	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000081112.1	other	many-to-many
ENSG00000230630.4	lncRNA	ENSMUSG00000065516.1	ncRNA	many-to-many
ENSG00000236753.5	lncRNA	ENSMUSG00000086212.7	lncRNA	one-to-one
ENSG00000238266.1	lncRNA	ENSMUSG00000112061.1	other	many-to-many
ENSG00000232973.11	lncRNA	ENSMUSG00000080758.1	other	many-to-many
ENSG00000269082.1	lncRNA	ENSMUSG00000078498.5	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077243.1	ncRNA	many-to-many
ENSG00000234741.7	lncRNA	ENSMUSG00000084667.1	ncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088261.1	ncRNA	many-to-many
ENSG00000270008.1	lncRNA	ENSMUSG00000041132.11	pc	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098011.1	other	many-to-many
ENSG00000260807.6	lncRNA	ENSMUSG00000091475.2	lncRNA	one-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000089304.1	ncRNA	many-to-many
ENSG00000275210.1	lncRNA	ENSMUSG00000107380.1	other	many-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000039046.15	pc	many-to-many
ENSG00000268119.5	lncRNA	ENSMUSG00000110049.1	other	one-to-many
ENSG00000244550.1	lncRNA	ENSMUSG00000095789.6	pc	many-to-many
ENSG00000268362.5	lncRNA	ENSMUSG00000115801.1	lncRNA	many-to-many
ENSG00000235501.5	lncRNA	ENSMUSG00000105813.1	lncRNA	one-to-one
ENSG00000273618.1	lncRNA	ENSMUSG00000093452.4	lncRNA	many-to-many
