# Orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)					
# by Sasti Gopal Das					
H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
ENSG00000275239.5	lncRNA	ENSMUSG00000101356.4	lncRNA	one-to-many	GENCODE.v47vsM970
ENSG00000255062.3	lncRNA	ENSMUSG00000137722.1	lncRNA	one-to-one	GENCODE.v47vsM971
ENSG00000305133.1	lncRNA	ENSMUSG00000132411.1	lncRNA	many-to-many	GENCODE.v47vsM972
ENSG00000237819.8	lncRNA	ENSMUSG00000142887.1	lncRNA	many-to-many	GENCODE.v47vsM973
ENSG00000248690.9	lncRNA	ENSMUSG00000086541.10	lncRNA	one-to-one	GENCODE.v47vsM974
ENSG00000197734.10	lncRNA	ENSMUSG00000140929.1	lncRNA	one-to-many	GENCODE.v47vsM975
ENSG00000227954.8	lncRNA	ENSMUSG00000112397.4	lncRNA	one-to-one	GENCODE.v47vsM976
ENSG00000300430.1	lncRNA	ENSMUSG00000141670.1	lncRNA	one-to-many	GENCODE.v47vsM977
ENSG00000307606.1	lncRNA	ENSMUSG00000109981.3	lncRNA	one-to-one	GENCODE.v47vsM978
ENSG00000247809.12	lncRNA	ENSMUSG00000109028.2	lncRNA	many-to-many	GENCODE.v47vsM979
ENSG00000250447.7	lncRNA	ENSMUSG00000104314.2	lncRNA	one-to-many	GENCODE.v47vsM980
ENSG00000273783.3	lncRNA	ENSMUSG00000120869.2	lncRNA	one-to-one	GENCODE.v47vsM981
ENSG00000288234.2	lncRNA	ENSMUSG00000103217.3	lncRNA	one-to-one	GENCODE.v47vsM982
ENSG00000226281.7	lncRNA	ENSMUSG00000100932.3	lncRNA	one-to-many	GENCODE.v47vsM983
ENSG00000305570.1	lncRNA	ENSMUSG00000113582.3	lncRNA	one-to-one	GENCODE.v47vsM984
ENSG00000297328.1	lncRNA	ENSMUSG00000097316.4	lncRNA	one-to-one	GENCODE.v47vsM985
ENSG00000237976.3	lncRNA	ENSMUSG00000087660.3	lncRNA	many-to-many	GENCODE.v47vsM986
ENSG00000255402.2	lncRNA	ENSMUSG00000126632.1	lncRNA	one-to-many	GENCODE.v47vsM987
ENSG00000254101.9	lncRNA	ENSMUSG00000135476.1	lncRNA	one-to-many	GENCODE.v47vsM988
ENSG00000298052.1	lncRNA	ENSMUSG00000121325.1	lncRNA	many-to-many	GENCODE.v47vsM989
ENSG00000228714.5	lncRNA	ENSMUSG00000085032.3	lncRNA	one-to-one	GENCODE.v47vsM990
ENSG00000271850.3	lncRNA	ENSMUSG00000138647.1	lncRNA	one-to-one	GENCODE.v47vsM991
ENSG00000303029.1	lncRNA	ENSMUSG00000125123.1	lncRNA	one-to-one	GENCODE.v47vsM992
ENSG00000279900.1	lncRNA	ENSMUSG00000074024.8	lncRNA	one-to-many	GENCODE.v47vsM993
ENSG00000310390.1	lncRNA	ENSMUSG00000100280.5	lncRNA	one-to-one	GENCODE.v47vsM994
ENSG00000306812.1	lncRNA	ENSMUSG00000111947.3	lncRNA	one-to-one	GENCODE.v47vsM995
ENSG00000234595.2	lncRNA	ENSMUSG00000135879.1	lncRNA	one-to-many	GENCODE.v47vsM996
ENSG00000294530.1	lncRNA	ENSMUSG00000113057.3	lncRNA	one-to-one	GENCODE.v47vsM997
ENSG00000183154.2	lncRNA	ENSMUSG00000130109.1	lncRNA	many-to-many	GENCODE.v47vsM998
ENSG00000228412.10	lncRNA	ENSMUSG00000047324.7	lncRNA	many-to-many	GENCODE.v47vsM999
ENSG00000289868.2	lncRNA	ENSMUSG00000117985.3	lncRNA	one-to-one	GENCODE.v47vsM1000
ENSG00000250646.1	lncRNA	ENSMUSG00000134112.1	lncRNA	one-to-one	GENCODE.v47vsM1001
ENSG00000237248.7	lncRNA	ENSMUSG00000059659.10	lncRNA	many-to-many	GENCODE.v47vsM1002
ENSG00000226251.9	lncRNA	ENSMUSG00000122196.1	lncRNA	one-to-one	GENCODE.v47vsM1003
ENSG00000297268.1	lncRNA	ENSMUSG00000120722.2	lncRNA	one-to-many	GENCODE.v47vsM1004
ENSG00000307472.1	lncRNA	ENSMUSG00000139483.1	lncRNA	one-to-one	GENCODE.v47vsM1005
ENSG00000228541.4	lncRNA	ENSMUSG00000135854.1	lncRNA	many-to-many	GENCODE.v47vsM1006
ENSG00000287998.2	lncRNA	ENSMUSG00000104801.2	lncRNA	one-to-one	GENCODE.v47vsM1007
ENSG00000228208.8	lncRNA	ENSMUSG00000103690.3	lncRNA	one-to-one	GENCODE.v47vsM1008
ENSG00000249738.11	lncRNA	ENSMUSG00000138383.1	lncRNA	one-to-many	GENCODE.v47vsM1009
ENSG00000270362.3	lncRNA	ENSMUSG00000101144.3	lncRNA	one-to-one	GENCODE.v47vsM1010
ENSG00000270344.5	lncRNA	ENSMUSG00000112346.3	lncRNA	one-to-one	GENCODE.v47vsM1011
ENSG00000291169.2	lncRNA	ENSMUSG00000109304.2	lncRNA	many-to-many	GENCODE.v47vsM1012
ENSG00000248859.3	lncRNA	ENSMUSG00000100728.3	lncRNA	one-to-many	GENCODE.v47vsM1013
ENSG00000232363.2	lncRNA	ENSMUSG00000115924.4	lncRNA	one-to-one	GENCODE.v47vsM1014
ENSG00000253730.2	lncRNA	ENSMUSG00000134727.1	lncRNA	many-to-many	GENCODE.v47vsM1015
ENSG00000305983.1	lncRNA	ENSMUSG00000135363.1	lncRNA	one-to-one	GENCODE.v47vsM1016
ENSG00000286532.3	lncRNA	ENSMUSG00000108591.2	lncRNA	one-to-one	GENCODE.v47vsM1017
ENSG00000178107.3	lncRNA	ENSMUSG00000115454.3	lncRNA	many-to-many	GENCODE.v47vsM1018
ENSG00000221817.13	lncRNA	ENSMUSG00000084925.10	lncRNA	one-to-one	GENCODE.v47vsM1019
ENSG00000296185.1	lncRNA	ENSMUSG00000105923.6	lncRNA	one-to-one	GENCODE.v47vsM1020
ENSG00000272734.2	lncRNA	ENSMUSG00000128628.1	lncRNA	one-to-many	GENCODE.v47vsM1021
ENSG00000183154.2	lncRNA	ENSMUSG00000123733.1	lncRNA	many-to-many	GENCODE.v47vsM1022
ENSG00000304147.1	lncRNA	ENSMUSG00000129045.1	lncRNA	one-to-one	GENCODE.v47vsM1023
ENSG00000223813.6	lncRNA	ENSMUSG00000133028.1	lncRNA	many-to-many	GENCODE.v47vsM1024
ENSG00000296692.1	lncRNA	ENSMUSG00000121286.2	lncRNA	many-to-many	GENCODE.v47vsM1025
ENSG00000287955.2	lncRNA	ENSMUSG00000123851.1	lncRNA	one-to-one	GENCODE.v47vsM1026
ENSG00000280409.2	lncRNA	ENSMUSG00000139113.1	lncRNA	one-to-one	GENCODE.v47vsM1027
ENSG00000233760.4	lncRNA	ENSMUSG00000140961.1	lncRNA	one-to-one	GENCODE.v47vsM1028
ENSG00000245694.13	lncRNA	ENSMUSG00000095651.2	lncRNA	one-to-many	GENCODE.v47vsM1029
ENSG00000227388.4	lncRNA	ENSMUSG00000085351.3	lncRNA	many-to-many	GENCODE.v47vsM1030
ENSG00000235531.12	lncRNA	ENSMUSG00000054493.4	lncRNA	one-to-one	GENCODE.v47vsM1031
ENSG00000310056.1	lncRNA	ENSMUSG00000134966.1	lncRNA	one-to-many	GENCODE.v47vsM1032
ENSG00000231346.5	lncRNA	ENSMUSG00000104835.7	lncRNA	one-to-one	GENCODE.v47vsM1033
ENSG00000174370.13	lncRNA	ENSMUSG00000111056.3	lncRNA	one-to-one	GENCODE.v47vsM1034
ENSG00000306588.1	lncRNA	ENSMUSG00000125121.1	lncRNA	one-to-one	GENCODE.v47vsM1035
ENSG00000237638.4	lncRNA	ENSMUSG00000127260.1	lncRNA	one-to-one	GENCODE.v47vsM1036
ENSG00000205866.5	lncRNA	ENSMUSG00000124306.1	lncRNA	one-to-one	GENCODE.v47vsM1037
ENSG00000289596.2	lncRNA	ENSMUSG00000140243.1	lncRNA	one-to-many	GENCODE.v47vsM1038
ENSG00000233096.1	lncRNA	ENSMUSG00000134990.1	lncRNA	one-to-one	GENCODE.v47vsM1039
ENSG00000304201.1	lncRNA	ENSMUSG00000131997.1	lncRNA	one-to-one	GENCODE.v47vsM1040
ENSG00000283982.2	lncRNA	ENSMUSG00000133686.1	lncRNA	one-to-one	GENCODE.v47vsM1041
ENSG00000227947.3	lncRNA	ENSMUSG00000100998.2	lncRNA	one-to-many	GENCODE.v47vsM1042
ENSG00000301796.1	lncRNA	ENSMUSG00000134478.1	lncRNA	one-to-one	GENCODE.v47vsM1043
ENSG00000263257.3	lncRNA	ENSMUSG00000099411.4	lncRNA	one-to-many	GENCODE.v47vsM1044
ENSG00000229953.2	lncRNA	ENSMUSG00000140331.1	lncRNA	one-to-many	GENCODE.v47vsM1045
ENSG00000267395.6	lncRNA	ENSMUSG00000124453.1	lncRNA	one-to-many	GENCODE.v47vsM1046
ENSG00000227036.11	lncRNA	ENSMUSG00000087259.10	lncRNA	one-to-many	GENCODE.v47vsM1047
ENSG00000295682.1	lncRNA	ENSMUSG00000122724.1	lncRNA	one-to-one	GENCODE.v47vsM1048
ENSG00000306232.1	lncRNA	ENSMUSG00000125839.1	lncRNA	one-to-one	GENCODE.v47vsM1049
ENSG00000302337.1	lncRNA	ENSMUSG00000121988.1	lncRNA	many-to-many	GENCODE.v47vsM1050
ENSG00000224812.5	lncRNA	ENSMUSG00000122219.1	lncRNA	one-to-many	GENCODE.v47vsM1051
ENSG00000305470.1	lncRNA	ENSMUSG00000133032.1	lncRNA	one-to-one	GENCODE.v47vsM1052
ENSG00000238063.4	lncRNA	ENSMUSG00000128223.1	lncRNA	one-to-many	GENCODE.v47vsM1053
ENSG00000306202.1	lncRNA	ENSMUSG00000133626.1	lncRNA	one-to-one	GENCODE.v47vsM1054
ENSG00000297428.1	lncRNA	ENSMUSG00000130573.1	lncRNA	one-to-many	GENCODE.v47vsM1055
ENSG00000247121.9	lncRNA	ENSMUSG00000124174.1	lncRNA	one-to-one	GENCODE.v47vsM1056
ENSG00000238290.2	lncRNA	ENSMUSG00000136882.1	lncRNA	one-to-many	GENCODE.v47vsM1057
ENSG00000303594.1	lncRNA	ENSMUSG00000139557.1	lncRNA	one-to-one	GENCODE.v47vsM1058
ENSG00000296692.1	lncRNA	ENSMUSG00000132894.1	lncRNA	many-to-many	GENCODE.v47vsM1059
ENSG00000250961.3	lncRNA	ENSMUSG00000114824.3	lncRNA	one-to-one	GENCODE.v47vsM1060
ENSG00000279430.1	lncRNA	ENSMUSG00000104351.3	lncRNA	one-to-many	GENCODE.v47vsM1061
ENSG00000290917.2	lncRNA	ENSMUSG00000071434.3	lncRNA	many-to-many	GENCODE.v47vsM1062
ENSG00000257239.2	lncRNA	ENSMUSG00000137963.1	lncRNA	one-to-one	GENCODE.v47vsM1063
ENSG00000249096.8	lncRNA	ENSMUSG00000134120.1	lncRNA	one-to-many	GENCODE.v47vsM1064
ENSG00000250220.2	lncRNA	ENSMUSG00000106725.2	lncRNA	one-to-many	GENCODE.v47vsM1065
ENSG00000289518.2	lncRNA	ENSMUSG00000129326.1	lncRNA	one-to-one	GENCODE.v47vsM1066
ENSG00000295677.1	lncRNA	ENSMUSG00000133361.1	lncRNA	one-to-many	GENCODE.v47vsM1067
ENSG00000227482.1	lncRNA	ENSMUSG00000124273.1	lncRNA	one-to-one	GENCODE.v47vsM1068
ENSG00000267707.2	lncRNA	ENSMUSG00000128726.1	lncRNA	one-to-one	GENCODE.v47vsM1069
ENSG00000254703.5	lncRNA	ENSMUSG00000135698.1	lncRNA	one-to-one	GENCODE.v47vsM1070
ENSG00000205054.10	lncRNA	ENSMUSG00000117501.4	lncRNA	one-to-many	GENCODE.v47vsM1071
ENSG00000294610.1	lncRNA	ENSMUSG00000109084.3	lncRNA	one-to-one	GENCODE.v47vsM1072
ENSG00000259282.6	lncRNA	ENSMUSG00000137721.1	lncRNA	one-to-one	GENCODE.v47vsM1073
ENSG00000286447.2	lncRNA	ENSMUSG00000089685.9	lncRNA	one-to-one	GENCODE.v47vsM1074
ENSG00000259702.4	lncRNA	ENSMUSG00000122114.1	lncRNA	one-to-one	GENCODE.v47vsM1075
ENSG00000264247.3	lncRNA	ENSMUSG00000120353.2	lncRNA	one-to-one	GENCODE.v47vsM1076
ENSG00000306246.1	lncRNA	ENSMUSG00000136061.1	lncRNA	one-to-one	GENCODE.v47vsM1077
ENSG00000253832.2	lncRNA	ENSMUSG00000114621.3	lncRNA	one-to-one	GENCODE.v47vsM1078
ENSG00000236098.2	lncRNA	ENSMUSG00000124717.1	lncRNA	one-to-one	GENCODE.v47vsM1079
ENSG00000237803.7	lncRNA	ENSMUSG00000126046.1	lncRNA	one-to-many	GENCODE.v47vsM1080
ENSG00000286418.2	lncRNA	ENSMUSG00000135585.1	lncRNA	one-to-many	GENCODE.v47vsM1081
ENSG00000303153.1	lncRNA	ENSMUSG00000142393.1	lncRNA	one-to-many	GENCODE.v47vsM1082
ENSG00000280147.1	lncRNA	ENSMUSG00000109819.3	lncRNA	one-to-many	GENCODE.v47vsM1083
ENSG00000303066.1	lncRNA	ENSMUSG00000127639.1	lncRNA	one-to-one	GENCODE.v47vsM1084
ENSG00000203280.5	lncRNA	ENSMUSG00000141774.1	lncRNA	one-to-one	GENCODE.v47vsM1085
ENSG00000294492.1	lncRNA	ENSMUSG00000131170.1	lncRNA	one-to-one	GENCODE.v47vsM1086
ENSG00000224729.7	lncRNA	ENSMUSG00000106617.2	lncRNA	many-to-many	GENCODE.v47vsM1087
ENSG00000307645.1	lncRNA	ENSMUSG00000121300.1	lncRNA	many-to-many	GENCODE.v47vsM1088
ENSG00000257781.2	lncRNA	ENSMUSG00000106708.3	lncRNA	one-to-one	GENCODE.v47vsM1089
ENSG00000287666.2	lncRNA	ENSMUSG00000124195.1	lncRNA	one-to-many	GENCODE.v47vsM1090
ENSG00000254827.8	lncRNA	ENSMUSG00000101360.4	lncRNA	one-to-one	GENCODE.v47vsM1091
ENSG00000279848.1	lncRNA	ENSMUSG00000106060.3	lncRNA	one-to-many	GENCODE.v47vsM1092
ENSG00000274259.3	lncRNA	ENSMUSG00000120301.2	lncRNA	one-to-one	GENCODE.v47vsM1093
ENSG00000287256.4	lncRNA	ENSMUSG00000120204.2	lncRNA	one-to-many	GENCODE.v47vsM1094
ENSG00000255002.3	lncRNA	ENSMUSG00000142465.1	lncRNA	one-to-one	GENCODE.v47vsM1095
ENSG00000270111.5	lncRNA	ENSMUSG00000099424.2	lncRNA	one-to-one	GENCODE.v47vsM1096
ENSG00000271086.8	lncRNA	ENSMUSG00000120048.2	lncRNA	one-to-many	GENCODE.v47vsM1097
ENSG00000230731.4	lncRNA	ENSMUSG00000141961.1	lncRNA	one-to-many	GENCODE.v47vsM1098
ENSG00000260608.2	lncRNA	ENSMUSG00000109485.3	lncRNA	one-to-many	GENCODE.v47vsM1099
ENSG00000290366.2	lncRNA	ENSMUSG00000136424.1	lncRNA	many-to-many	GENCODE.v47vsM1100
ENSG00000298434.1	lncRNA	ENSMUSG00000143911.1	lncRNA	one-to-one	GENCODE.v47vsM1101
ENSG00000236975.3	lncRNA	ENSMUSG00000135667.1	lncRNA	one-to-one	GENCODE.v47vsM1102
ENSG00000283096.1	lncRNA	ENSMUSG00000089887.4	lncRNA	one-to-many	GENCODE.v47vsM1103
ENSG00000259438.1	lncRNA	ENSMUSG00000097021.9	lncRNA	one-to-many	GENCODE.v47vsM1104
ENSG00000287254.2	lncRNA	ENSMUSG00000143537.1	lncRNA	one-to-many	GENCODE.v47vsM1105
ENSG00000305781.1	lncRNA	ENSMUSG00000085620.4	lncRNA	one-to-one	GENCODE.v47vsM1106
ENSG00000262728.7	lncRNA	ENSMUSG00000136663.1	lncRNA	many-to-many	GENCODE.v47vsM1107
ENSG00000236204.8	lncRNA	ENSMUSG00000141346.1	lncRNA	one-to-many	GENCODE.v47vsM1108
ENSG00000270141.4	lncRNA	ENSMUSG00000102505.2	lncRNA	many-to-many	GENCODE.v47vsM1109
ENSG00000295217.1	lncRNA	ENSMUSG00000118159.2	lncRNA	one-to-one	GENCODE.v47vsM1110
ENSG00000273015.3	lncRNA	ENSMUSG00000131962.1	lncRNA	many-to-many	GENCODE.v47vsM1111
ENSG00000271614.2	lncRNA	ENSMUSG00000102310.2	lncRNA	one-to-many	GENCODE.v47vsM1112
ENSG00000263069.6	lncRNA	ENSMUSG00000109408.3	lncRNA	one-to-one	GENCODE.v47vsM1113
ENSG00000304979.1	lncRNA	ENSMUSG00000087085.3	lncRNA	one-to-many	GENCODE.v47vsM1114
ENSG00000297283.1	lncRNA	ENSMUSG00000102432.3	lncRNA	one-to-many	GENCODE.v47vsM1115
ENSG00000235770.7	lncRNA	ENSMUSG00000101848.3	lncRNA	many-to-many	GENCODE.v47vsM1116
ENSG00000266573.7	lncRNA	ENSMUSG00000143479.1	lncRNA	one-to-one	GENCODE.v47vsM1117
ENSG00000230846.1	lncRNA	ENSMUSG00000097502.4	lncRNA	one-to-half	GENCODE.v47vsM1118
ENSG00000289243.2	lncRNA	ENSMUSG00000141291.1	lncRNA	one-to-many	GENCODE.v47vsM1119
ENSG00000232132.2	lncRNA	ENSMUSG00000125648.1	lncRNA	one-to-one	GENCODE.v47vsM1120
ENSG00000232227.6	lncRNA	ENSMUSG00000100451.2	lncRNA	one-to-one	GENCODE.v47vsM1121
ENSG00000249375.9	lncRNA	ENSMUSG00000131894.1	lncRNA	one-to-many	GENCODE.v47vsM1122
ENSG00000302279.1	lncRNA	ENSMUSG00000139418.1	lncRNA	one-to-one	GENCODE.v47vsM1123
ENSG00000277135.1	lncRNA	ENSMUSG00000109028.2	lncRNA	one-to-many	GENCODE.v47vsM1124
ENSG00000297635.1	lncRNA	ENSMUSG00000097545.10	lncRNA	one-to-many	GENCODE.v47vsM1125
ENSG00000298342.1	lncRNA	ENSMUSG00000125197.1	lncRNA	many-to-many	GENCODE.v47vsM1126
ENSG00000294980.1	lncRNA	ENSMUSG00000142017.1	lncRNA	many-to-many	GENCODE.v47vsM1127
ENSG00000234869.2	lncRNA	ENSMUSG00000125842.1	lncRNA	one-to-one	GENCODE.v47vsM1128
ENSG00000237232.10	lncRNA	ENSMUSG00000133785.1	lncRNA	many-to-many	GENCODE.v47vsM1129
ENSG00000310363.1	lncRNA	ENSMUSG00000022116.9	lncRNA	many-to-many	GENCODE.v47vsM1130
ENSG00000270866.2	lncRNA	ENSMUSG00000098659.10	lncRNA	one-to-many	GENCODE.v47vsM1131
ENSG00000270103.3	lncRNA	ENSMUSG00000134044.1	lncRNA	many-to-many	GENCODE.v47vsM1132
ENSG00000254964.1	lncRNA	ENSMUSG00000114220.3	lncRNA	one-to-one	GENCODE.v47vsM1133
ENSG00000227492.3	lncRNA	ENSMUSG00000140371.1	lncRNA	many-to-many	GENCODE.v47vsM1134
ENSG00000299503.1	lncRNA	ENSMUSG00000133510.1	lncRNA	one-to-one	GENCODE.v47vsM1135
ENSG00000294346.1	lncRNA	ENSMUSG00000087538.3	lncRNA	one-to-one	GENCODE.v47vsM1136
ENSG00000289341.3	lncRNA	ENSMUSG00000140774.1	lncRNA	one-to-one	GENCODE.v47vsM1137
ENSG00000235143.1	lncRNA	ENSMUSG00000133557.1	lncRNA	one-to-one	GENCODE.v47vsM1138
ENSG00000257386.1	lncRNA	ENSMUSG00000097185.2	lncRNA	one-to-one	GENCODE.v47vsM1139
ENSG00000298163.1	lncRNA	ENSMUSG00000102297.2	lncRNA	many-to-many	GENCODE.v47vsM1140
ENSG00000294154.1	lncRNA	ENSMUSG00000085434.3	lncRNA	one-to-many	GENCODE.v47vsM1141
ENSG00000166917.12	lncRNA	ENSMUSG00000085354.3	lncRNA	many-to-many	GENCODE.v47vsM1142
ENSG00000304574.1	lncRNA	ENSMUSG00000141355.1	lncRNA	one-to-one	GENCODE.v47vsM1143
ENSG00000303440.1	lncRNA	ENSMUSG00000120428.2	lncRNA	one-to-many	GENCODE.v47vsM1144
ENSG00000171889.8	lncRNA	ENSMUSG00000054351.3	lncRNA	many-to-many	GENCODE.v47vsM1145
ENSG00000308119.1	lncRNA	ENSMUSG00000123167.1	lncRNA	one-to-one	GENCODE.v47vsM1146
ENSG00000228826.4	lncRNA	ENSMUSG00000091423.3	lncRNA	one-to-half	GENCODE.v47vsM1147
ENSG00000272043.3	lncRNA	ENSMUSG00000130257.1	lncRNA	one-to-one	GENCODE.v47vsM1148
ENSG00000301033.1	lncRNA	ENSMUSG00000102762.3	lncRNA	many-to-many	GENCODE.v47vsM1149
ENSG00000306157.1	lncRNA	ENSMUSG00000125199.1	lncRNA	one-to-one	GENCODE.v47vsM1150
ENSG00000302165.1	lncRNA	ENSMUSG00000099906.3	lncRNA	many-to-many	GENCODE.v47vsM1151
ENSG00000307492.1	lncRNA	ENSMUSG00000086191.4	lncRNA	one-to-many	GENCODE.v47vsM1152
ENSG00000307734.1	lncRNA	ENSMUSG00000120567.2	lncRNA	one-to-one	GENCODE.v47vsM1153
ENSG00000293681.1	lncRNA	ENSMUSG00000086903.7	lncRNA	one-to-many	GENCODE.v47vsM1154
ENSG00000230587.6	lncRNA	ENSMUSG00000117446.3	lncRNA	many-to-many	GENCODE.v47vsM1155
ENSG00000261008.10	lncRNA	ENSMUSG00000097393.11	lncRNA	many-to-many	GENCODE.v47vsM1156
ENSG00000249375.9	lncRNA	ENSMUSG00000103610.2	lncRNA	one-to-many	GENCODE.v47vsM1157
ENSG00000256115.7	lncRNA	ENSMUSG00000101659.2	lncRNA	one-to-one	GENCODE.v47vsM1158
ENSG00000290199.2	lncRNA	ENSMUSG00000121374.2	lncRNA	many-to-many	GENCODE.v47vsM1159
ENSG00000306800.1	lncRNA	ENSMUSG00000087095.5	lncRNA	one-to-many	GENCODE.v47vsM1160
ENSG00000224259.10	lncRNA	ENSMUSG00000136834.1	lncRNA	many-to-many	GENCODE.v47vsM1161
ENSG00000263004.4	lncRNA	ENSMUSG00000126996.1	lncRNA	one-to-one	GENCODE.v47vsM1162
ENSG00000233893.2	lncRNA	ENSMUSG00000123241.1	lncRNA	one-to-one	GENCODE.v47vsM1163
ENSG00000225855.8	lncRNA	ENSMUSG00000138873.1	lncRNA	one-to-one	GENCODE.v47vsM1164
ENSG00000297933.1	lncRNA	ENSMUSG00000143889.1	lncRNA	one-to-one	GENCODE.v47vsM1165
ENSG00000310276.1	lncRNA	ENSMUSG00000087246.3	lncRNA	one-to-one	GENCODE.v47vsM1166
ENSG00000275180.3	lncRNA	ENSMUSG00000121658.1	lncRNA	many-to-many	GENCODE.v47vsM1167
ENSG00000305853.1	lncRNA	ENSMUSG00000110862.3	lncRNA	one-to-many	GENCODE.v47vsM1168
ENSG00000307960.1	lncRNA	ENSMUSG00000085941.2	lncRNA	one-to-one	GENCODE.v47vsM1169
ENSG00000302732.1	lncRNA	ENSMUSG00000133668.1	lncRNA	one-to-many	GENCODE.v47vsM1170
ENSG00000304860.1	lncRNA	ENSMUSG00000073679.3	lncRNA	one-to-one	GENCODE.v47vsM1171
ENSG00000260032.3	lncRNA	ENSMUSG00000102869.5	lncRNA	many-to-many	GENCODE.v47vsM1172
ENSG00000203601.4	lncRNA	ENSMUSG00000104011.4	lncRNA	many-to-many	GENCODE.v47vsM1173
ENSG00000254519.6	lncRNA	ENSMUSG00000085293.4	lncRNA	one-to-one	GENCODE.v47vsM1174
ENSG00000310107.1	lncRNA	ENSMUSG00000093482.11	lncRNA	many-to-many	GENCODE.v47vsM1175
ENSG00000231535.9	lncRNA	ENSMUSG00000100780.2	lncRNA	one-to-many	GENCODE.v47vsM1176
ENSG00000286181.1	lncRNA	ENSMUSG00000039545.17	lncRNA	many-to-many	GENCODE.v47vsM1177
ENSG00000228021.8	lncRNA	ENSMUSG00000110026.3	lncRNA	one-to-one	GENCODE.v47vsM1178
ENSG00000247137.10	lncRNA	ENSMUSG00000103887.3	lncRNA	one-to-many	GENCODE.v47vsM1179
ENSG00000307703.1	lncRNA	ENSMUSG00000136708.1	lncRNA	many-to-many	GENCODE.v47vsM1180
ENSG00000255258.3	lncRNA	ENSMUSG00000126981.1	lncRNA	one-to-one	GENCODE.v47vsM1181
ENSG00000293509.2	lncRNA	ENSMUSG00000140518.1	lncRNA	one-to-many	GENCODE.v47vsM1182
ENSG00000284612.3	lncRNA	ENSMUSG00000102869.5	lncRNA	one-to-many	GENCODE.v47vsM1183
ENSG00000231090.2	lncRNA	ENSMUSG00000104192.2	lncRNA	many-to-many	GENCODE.v47vsM1184
ENSG00000229779.1	lncRNA	ENSMUSG00000143736.1	lncRNA	one-to-one	GENCODE.v47vsM1185
ENSG00000297058.1	lncRNA	ENSMUSG00000130484.1	lncRNA	one-to-one	GENCODE.v47vsM1186
ENSG00000259508.2	lncRNA	ENSMUSG00000083193.3	lncRNA	one-to-one	GENCODE.v47vsM1187
ENSG00000286799.2	lncRNA	ENSMUSG00000060808.6	lncRNA	one-to-one	GENCODE.v47vsM1188
ENSG00000248898.5	lncRNA	ENSMUSG00000114255.2	lncRNA	one-to-one	GENCODE.v47vsM1189
ENSG00000224128.2	lncRNA	ENSMUSG00000120751.2	lncRNA	one-to-one	GENCODE.v47vsM1190
ENSG00000260192.4	lncRNA	ENSMUSG00000096948.5	lncRNA	one-to-many	GENCODE.v47vsM1191
ENSG00000256757.1	lncRNA	ENSMUSG00000141729.1	lncRNA	one-to-one	GENCODE.v47vsM1192
ENSG00000304182.1	lncRNA	ENSMUSG00000142988.1	lncRNA	one-to-one	GENCODE.v47vsM1193
ENSG00000224851.3	lncRNA	ENSMUSG00000118032.3	lncRNA	one-to-many	GENCODE.v47vsM1194
ENSG00000297852.1	lncRNA	ENSMUSG00000127643.1	lncRNA	one-to-one	GENCODE.v47vsM1195
ENSG00000305327.1	lncRNA	ENSMUSG00000141736.1	lncRNA	many-to-many	GENCODE.v47vsM1196
ENSG00000257127.6	lncRNA	ENSMUSG00000126364.1	lncRNA	one-to-one	GENCODE.v47vsM1197
ENSG00000228352.3	lncRNA	ENSMUSG00000134989.1	lncRNA	many-to-many	GENCODE.v47vsM1198
ENSG00000306784.1	lncRNA	ENSMUSG00000128834.1	lncRNA	one-to-one	GENCODE.v47vsM1199
ENSG00000225822.5	lncRNA	ENSMUSG00000124294.1	lncRNA	one-to-one	GENCODE.v47vsM1200
ENSG00000278090.4	lncRNA	ENSMUSG00000109193.3	lncRNA	many-to-many	GENCODE.v47vsM1201
ENSG00000230074.6	lncRNA	ENSMUSG00000096327.3	lncRNA	many-to-many	GENCODE.v47vsM1202
ENSG00000264448.5	lncRNA	ENSMUSG00000085614.4	lncRNA	one-to-many	GENCODE.v47vsM1203
ENSG00000289421.2	lncRNA	ENSMUSG00000135487.1	lncRNA	one-to-one	GENCODE.v47vsM1204
ENSG00000300773.1	lncRNA	ENSMUSG00000125578.1	lncRNA	one-to-many	GENCODE.v47vsM1205
ENSG00000286043.2	lncRNA	ENSMUSG00000085282.11	lncRNA	one-to-one	GENCODE.v47vsM1206
ENSG00000305924.1	lncRNA	ENSMUSG00000135082.1	lncRNA	one-to-one	GENCODE.v47vsM1207
ENSG00000307075.1	lncRNA	ENSMUSG00000120413.2	lncRNA	one-to-one	GENCODE.v47vsM1208
ENSG00000236526.2	lncRNA	ENSMUSG00000132161.1	lncRNA	one-to-one	GENCODE.v47vsM1209
ENSG00000230074.6	lncRNA	ENSMUSG00000142319.1	lncRNA	many-to-many	GENCODE.v47vsM1210
ENSG00000269106.1	lncRNA	ENSMUSG00000124035.1	lncRNA	one-to-one	GENCODE.v47vsM1211
ENSG00000295019.1	lncRNA	ENSMUSG00000128997.1	lncRNA	one-to-one	GENCODE.v47vsM1212
ENSG00000251171.1	lncRNA	ENSMUSG00000099419.2	lncRNA	one-to-many	GENCODE.v47vsM1213
